Disney+,Genres,IMDb,Rotten Tomatoes,Title,Year,_id
true,"Adventure,Comedy,Family,Sci-Fi",5.6,51,Sky High,2020,616528458a2fde8299a2b27e
true,"Biography,Drama,Western",5.9,62,The Kid,2019,616528458a2fde8299a2bab4
true,"Drama,Music",6.1,60,Teen Spirit,2019,616528458a2fde8299a2bafc
true,"Action,Crime,Drama,Thriller",5.4,50,The Flood,2019,616528458a2fde8299a2bc31
true,"Animation,Drama,Family,Fantasy,Musical",6.2,72,Pinocchio,2019,616528458a2fde8299a2bd90
true,"Action,Adventure,Drama,Sci-Fi",8.4,90,Avengers: Endgame,2019,616528458a2fde8299a2cc39
true,"Animation,Adventure,Comedy,Family,Fantasy,Music",8.1,89,Soul,2020,616528458a2fde8299a2cc3d
true,"Animation,Adventure,Comedy,Family,Fantasy",7.7,82,Toy Story 4,2019,616528458a2fde8299a2cc6f
true,"Biography,Drama,History,Musical",8.4,81,Hamilton,2020,616528458a2fde8299a2cc72
true,"Action,Adventure,Sci-Fi",6.8,81,Captain Marvel,2019,616528458a2fde8299a2cc73
true,"Animation,Adventure,Comedy,Family,Fantasy",7.4,80,Onward,2020,616528458a2fde8299a2cc7f
true,"Adventure,Drama,Fantasy,Music",5.7,79,Black Is King,2020,616528458a2fde8299a2cc89
true,"Action,Adventure,Fantasy,Sci-Fi",6.5,78,Star Wars: The Rise of Skywalker,2019,616528458a2fde8299a2cc8c
true,"Animation,Adventure,Comedy,Family,Fantasy,Musical",6.8,78,Frozen II,2019,616528458a2fde8299a2cc8f
true,"Adventure,Biography,Drama,Family,History",8,76,Togo,2019,616528458a2fde8299a2cca5
true,"Adventure,Family,Fantasy",6.6,76,Maleficent: Mistress of Evil,2019,616528458a2fde8299a2ccaa
true,"Action,Adventure,Crime,Drama,Fantasy,Sci-Fi",6.2,74,Stargirl,2020,616528458a2fde8299a2ccbb
true,"Adventure,Comedy,Drama,Family,Fantasy",6.1,73,Timmy Failure: Mistakes Were Made,2020,616528458a2fde8299a2ccd1
true,"Action,Adventure,Drama,Family,Musical,Thriller",6.6,67,Descendants 3,2019,616528458a2fde8299a2cd21
true,"Adventure,Comedy,Drama,Family,Fantasy",6.6,67,The One and Only Ivan,2020,616528458a2fde8299a2cd24
true,"Action,Adventure,Family,Fantasy",6,64,The Kid Who Would Be King,2019,616528458a2fde8299a2cd55
true,"Animation,Short,Drama,Family",8,64,Kitbull,2019,616528458a2fde8299a2cd5d
true,"Documentary,Drama,Music",8.4,64,Folklore: The Long Pond Studio Sessions,2020,616528458a2fde8299a2cd62
true,"Animation,Action,Adventure,Comedy,Family,Fantasy,Musical,Sci-Fi,Thriller",7.2,63,Phineas and Ferb: The Movie: Candace Against the Universe,2020,616528458a2fde8299a2cd77
true,"Comedy,Drama,Family,Fantasy",6.1,63,Godmothered,2020,616528458a2fde8299a2cd78
true,"Animation,Action,Adventure,Comedy,Family,Sci-Fi",6.4,61,The Lego Star Wars Holiday Special,2020,616528458a2fde8299a2cda3
true,"Biography,Drama,Sport",6.8,61,Safety,2020,616528458a2fde8299a2cda7
true,"Animation,Short,Adventure,Comedy,Family,Fantasy",6.9,61,Once Upon a Snowman,2020,616528458a2fde8299a2cdae
true,"Animation,Action,Adventure,Family,Fantasy,Romance",7.7,60,"Miraculous World: New York, United HeroeZ",2020,616528458a2fde8299a2cdb5
true,"Action,Adventure,Comedy,Family,Fantasy",4.9,60,Secret Society of Second Born Royals,2020,616528458a2fde8299a2cdb6
true,"Animation,Short,Drama,Family,Fantasy",7.3,60,Float,2019,616528458a2fde8299a2cdb7
true,"Adventure,Family,Fantasy,Sci-Fi",4.2,60,Artemis Fowl,2020,616528458a2fde8299a2cdba
true,"Drama,Music",7.5,60,Clouds,2020,616528458a2fde8299a2cdc6
true,"Comedy,Family,Fantasy",6.4,59,Magic Camp,2020,616528458a2fde8299a2cdc7
true,"Animation,Short,Comedy,Drama,Family",7.4,58,Burrow,2020,616528458a2fde8299a2cdec
true,"Animation,Short,Comedy,Family",6.5,58,Purl,2019,616528458a2fde8299a2cdf0
true,"Drama,Family",6.4,58,Black Beauty,2020,616528458a2fde8299a2cdf1
true,"Comedy,Musical,Romance",6,57,Z-O-M-B-I-E-S 2,2020,616528458a2fde8299a2ce01
true,"Animation,Short,Comedy,Drama,Family,Fantasy,Romance",7.5,57,Out,2020,616528458a2fde8299a2ce0e
true,"Animation,Short,Adventure,Drama,Family,Mystery",6.8,57,Loop,2020,616528458a2fde8299a2ce0f
true,"Crime,Drama",6.7,56,Smash and Grab,2019,616528458a2fde8299a2ce24
true,"Documentary,Family",7.1,56,Penguins,2019,616528458a2fde8299a2ce2f
true,"Family,Fantasy",5.3,55,Upside-Down Magic,2020,616528458a2fde8299a2ce39
true,"Crime,Drama,Thriller",7.2,54,Elephant,2020,616528458a2fde8299a2ce55
true,Documentary,7.3,54,The Real Right Stuff,2020,616528458a2fde8299a2ce59
true,"Documentary,History",7.6,53,Apollo: Missions to the Moon,2019,616528458a2fde8299a2ce5b
true,"Family,Fantasy,Musical,Romance",5.6,53,The Little Mermaid Live!,2019,616528458a2fde8299a2ce63
true,Documentary,7.4,52,Into the Grand Canyon,2019,616528458a2fde8299a2ce7d
true,"Animation,Short,Adventure,Comedy,Family,Fantasy",6.8,51,Lamp Life,2020,616528458a2fde8299a2ce8f
true,"Animation,Short,Comedy,Family,Fantasy",7.1,51,Forky Asks a Question: What Is a Friend?,2019,616528458a2fde8299a2cea0
true,"Documentary,Short",6.8,50,Marvel Studios: Expanding the Universe,2019,616528458a2fde8299a2cead
true,"Documentary,History",7.2,49,Expedition Amelia,2019,616528458a2fde8299a2cebb
true,"Animation,Short,Comedy,Family,Fantasy",7.4,49,Forky Asks a Question: What Is Love?,2019,616528458a2fde8299a2cebf
true,Documentary,7.9,49,Jane Goodall: The Hope,2020,616528458a2fde8299a2cec6
true,Documentary,7.2,49,High School Musical: The Musical: The Series: The Special,2019,616528458a2fde8299a2cecd
