Genres,HBO,IMDb,Rotten Tomatoes,Title,Year
Drama,true,9.4,96,Chernobyl,2019
Drama,true,8.1,95,Watchmen,2019
Drama,true,8.3,82,Euphoria,2019
Drama,true,8,95,Doom Patrol,2019
Drama,true,7.9,80,His Dark Materials,2019
Drama,true,8.4,89,Years and Years,2019
Drama,true,8.7,100,Primal,2019
Drama,true,8.2,90,Gentleman Jack,2019
Drama,true,8.1,75,The Righteous Gemstones,2019
Drama,true,7,84,Mrs. Fletcher,2019
Drama,true,7.4,93,Our Boys,2019
Drama,true,3.6,79,Batwoman,2019
Drama,true,6,53,Nancy Drew,2019
Drama,true,7.5,100,Los Espookys,2019
Drama,true,7.8,100,Ghosts,2019
Drama,true,7.1,100,A Black Lady Sketch Show,2019
Drama,true,7.8,67,The Movies,2019
Drama,true,6.6,82,The Case Against Adnan Syed,2019
Drama,true,7.3,,El Pionero,2019
Drama,true,7.2,,Food Lore,2019
Drama,true,7.9,,Home,2019
Drama,true,7.2,,Santos Dumont,2019
Drama,true,6.2,,Victor and Valentino,2019
Drama,true,7.1,,"On Tour with Asperger's Are Us",2019
Drama,true,7.6,,24/7 College Football,2019
"Crime, Drama, Mystery, Thriller",true,8.2,,Watchmen,2019
"Animation, Action, Adventure, Fantasy, Thriller",true,8.5,,Harley Quinn,2019
