Genres,IMDb,Rotten Tomatoes,Title
"Action, Fantasy, Mystery, Sci-Fi, Thriller",8,86,Scenes from a Marriage
"Action, Adventure, Fantasy, Mystery",7.7,76,The White Lotus
Drama,8.5,93,Mare of Easttown
"Crime, Drama, Mystery, Thriller",6.1,37,American Horror Stories
"Comedy, Drama, Family",8.2,87,Hacks
"Action, Comedy, Drama, Fantasy, Sci-Fi",7.9,70,Superman and Lois
"Action, Adventure, Drama, Romance, Sci-Fi",6.1,40,The Premise
"Action, Crime, Drama",8.4,50,Tokyo Revengers
"Action, Adventure, Drama, Sci-Fi",6,71,Walker
"Adventure, Drama, Fantasy, Horror, Sci-Fi, Thriller",7.4,83,The Nevers
"Action, Crime, Drama, Mystery, Thriller",7.4,67,"The Way Down: God, Greed and the Cult of Gwen Shamblin"
"Drama, Mystery, Sci-Fi, Thriller",8.7,92,"It's a Sin"
