Genres,IMDb,Rotten Tomatoes,Title
"Documentary,Biography,Drama",6.4,59,Framing John DeLorean
"Comedy,Drama,Thriller",8.6,88,Parasite
"Drama,Romance",8.1,80,Portrait of a Lady on Fire
"Biography,Drama,Music,Musical",7.3,79,Rocketman
Comedy,7.2,78,Booksmart
"Adventure,Comedy,Drama",7.6,78,The Peanut Butter Falcon
"Biography,Comedy,Drama,Sport",7.1,77,Fighting With My Family
"Action,Adventure,Sci-Fi",6.2,76,Terminator: Dark Fate
"Biography,Drama",6.8,76,Bombshell
"Action,Drama,History,Thriller",7.6,75,Hotel Mumbai
"Comedy,Drama",7,75,The Upside
Documentary,6.8,74,Fyre Fraud
"Action,Drama,Sci-Fi,Thriller",5.7,73,Gemini Man
"Animation,Adventure,Comedy,Family,Fantasy",7,73,Abominable
"Action,Horror,Thriller",6.1,72,Crawl
"Drama,Horror,Mystery",6.7,71,Saint Maud
"Biography,Drama,Romance",6.8,71,Judy
"Documentary,Drama",8,70,Honeyland
Documentary,8.1,69,The Biggest Little Farm
"Fantasy,Horror,Thriller",5.7,68,Pet Sematary
"Action,Comedy,Crime,Drama,Mystery,Thriller",6.6,68,The Art of Self-Defense
"Animation,Adventure,Comedy,Family,Fantasy",6.7,68,Missing Link
Documentary,6.5,68,The Amazing Johnathan Documentary
"Adventure,Comedy,Family,Mystery",6.1,68,Dora and the Lost City of Gold
"Comedy,Family,Horror",5.8,68,The Addams Family
"Horror,Mystery,Thriller",5.7,67,"Child's Play"
"Comedy,Crime",5.4,67,The Hustle
"Comedy,Drama",6.5,67,"Where'd You Go, Bernadette"
"Comedy,Drama,Music",7.2,66,Wild Rose
"Biography,Drama",7,66,Trial by Fire
"Drama,War",7.4,66,The Painted Bird
"Animation,Action,Adventure,Drama,Family,Fantasy",7.4,65,How to Train Your Dragon: Homecoming
Documentary,6,65,Jawline
"Biography,Drama,Thriller",6.9,65,Mr. Jones
"Adventure,Drama,Thriller",6.9,65,Monos
"Comedy,Drama,Romance",6.6,64,Plus One
"Drama,Mystery",6.7,64,Luce
"Biography,Drama,Sport",7.2,63,Brian Banks
Documentary,7.3,63,Hail Satan?
"Drama,Sci-Fi",6.2,63,Aniara
"Drama,Romance",7.1,63,Two of Us
"Drama,Mystery,Thriller",6.4,63,Angel of Mine
"Comedy,Drama,Horror,Thriller",6.2,62,Villains
"Biography,Drama,Western",5.9,62,The Kid
Comedy,5.5,62,The Beach Bum
"Animation,Action,Adventure,Comedy,Family,Fantasy,Sci-Fi",6.9,62,Teen Titans Go! vs. Teen Titans
"Adventure,Drama,Sci-Fi,War",5.7,62,The Man Who Killed Hitler and Then the Bigfoot
"Action,Adventure,Drama,Sci-Fi",6.4,62,Proxima
Thriller,4.8,61,The Courier
"Comedy,Romance",6.4,61,Ode to Joy
"Action,Adventure,Horror,Sci-Fi,Thriller",7.5,61,The Cave
Drama,6.5,60,Clemency
Drama,5.9,60,Waiting for the Barbarians
"Drama,Music",6.1,60,Teen Spirit
"Drama,Romance",6.6,60,Ordinary Love
"Animation,Action,Adventure,Drama,Fantasy,Horror",4.9,60,Primal
Thriller,4.6,59,Grand Isle
"Crime,Drama,Western",6.2,59,Little Woods
"Crime,Drama,Thriller",5.4,59,Running with the Devil
"Drama,Horror,Mystery,Sci-Fi",5.9,58,Little Joe
"Drama,Sci-Fi,Thriller",5.7,58,The Mandela Effect
"Crime,Drama,Thriller",5.3,58,Crypto
"Action,Crime,Thriller",4.7,58,A Score to Settle
"Biography,Drama,Romance",5.8,58,Vita & Virginia
"Drama,Fantasy,Romance,Sport",6,57,Above the Shadows
"Action,Adventure,Drama,Sci-Fi",6.2,57,Gundala
"Animation,Adventure,Comedy,Sci-Fi",6.6,56,Astro Kid
Documentary,7.3,56,Superpower Dogs
Drama,6.7,56,Diane
"Comedy,Crime,Drama,Fantasy,Thriller",6.1,56,Judy & Punch
"Documentary,Crime,History",7.3,56,Sea of Shadows
"Action,Crime,Drama,History,Thriller",5.5,56,Vault
"Biography,Drama,History,War",5.4,55,Robert the Bruce
"Drama,Mystery",6.6,55,Out Stealing Horses
"Drama,Thriller",5.4,55,Donnybrook
"Drama,Thriller",5.4,55,An Acceptable Loss
"Crime,Drama,Mystery,Thriller",5.4,55,Pledge
"Action,Thriller",5.1,55,Exit Plan
"Drama,Fantasy,Horror,Mystery,Sci-Fi,Thriller",6.7,55,A Nasty Piece of Work
"Drama,Horror,Mystery,Thriller",4,55,Wounds
"Drama,Romance",5.7,54,The Tomorrow Man
"Action,Crime,Thriller",5.2,54,Into the Ashes
Drama,6.6,54,This Is Not Berlin
"Documentary,Biography,History",7.2,54,Meeting Gorbachev
"Action,Crime,Drama,Thriller",5.3,54,We Die Young
"Action,Crime,Mystery,Thriller",4.4,54,Killers Anonymous
"Documentary,Biography",7.7,54,Ask Dr. Ruth
"Drama,Horror,Thriller",5.4,53,Depraved
Drama,4.4,53,Mary
Horror,4.9,53,Trick
"Action,Comedy,Crime,Thriller",5.1,53,Lucky Day
"Drama,Romance,Sci-Fi,Thriller",4.8,53,Radioflash
"Documentary,Biography",7.6,53,Margaret Atwood: A Word After a Word After a Word Is Power
"Drama,Horror,Mystery",4.8,53,I Trapped the Devil
Comedy,6.5,53,Mister America
Drama,5.6,52,The Obituary of Tunde Johnson
"Comedy,Drama,Sci-Fi",5.9,52,James vs. His Future Self
Drama,5.5,52,The Mountain
Drama,5.7,52,The Sound of Silence
Documentary,7.5,52,Toni Morrison: The Pieces I Am
"Drama,Sport",6,52,Run the Race
"Horror,Thriller",5,51,Trespassers
Documentary,8.1,51,Raise Hell: The Life & Times of Molly Ivins
"Documentary,Comedy,Horror,Mystery",4.8,51,Wrinkles the Clown
"Comedy,Romance",5.5,51,A Guide to Second Date Sex
"Drama,Fantasy,Horror,Mystery,Sci-Fi,Thriller",5.7,51,Uncanny Annie
Comedy,6.2,51,The Brink
"Crime,Drama",6.2,51,Ms. Purple
"Biography,Comedy,Drama,Family,Romance",6.6,51,Red Dog
"Horror,Mystery,Thriller",4.8,50,Body at Brighton Rock
"Comedy,Fantasy,Romance",5.6,50,A Christmas Movie Christmas
"Action,Crime,Drama,Thriller",5.4,50,The Flood
"Documentary,History",6.3,50,The Rape of Recy Taylor
"Comedy,Drama,Romance",4.4,50,Good Kisser
"Drama,Mystery,Thriller",5.1,50,Knives and Skin
"Documentary,Drama",6.6,49,Madonna and the Breakfast Club
Documentary,6.9,48,Slay the Dragon
"Drama,Sci-Fi,Thriller",3.7,48,After Darkness
Comedy,5.1,48,Supervized
Comedy,5.5,48,The Turkey Bowl
"Crime,Drama,Romance",5.3,48,Dirt Music
Documentary,7.1,47,Hurley
"Drama,Fantasy,Horror,Mystery,Sci-Fi,Thriller",5.5,47,"Into the Dark: I'm Just F*cking With You"
Drama,5,46,Pretenders
Thriller,5.5,46,Rattlesnakes
"Action,Drama,Thriller",3.3,46,General Commander
"Action,Adventure,Drama,Fantasy,War",4.2,46,The Warrior Queen of Jhansi
Documentary,6.3,46,Autonomy
"Documentary,Music",6.8,46,The Quiet One
Action,4.6,45,Ip Man: Kung Fu Master
"Action,Sci-Fi",3.7,45,2099: The Soldier Protocol
"Documentary,Biography,Music",6.5,45,Cunningham
Fantasy,5.3,45,The Place of No Words
"Animation,Adventure,Family,Fantasy",4.7,45,Bayala: A Magical Adventure
"Documentary,Drama,Sport",5.5,44,Changing the Game
"Comedy,Drama",5.8,44,Avenues
Documentary,7.1,44,Who Let the Dogs Out
Horror,4.7,44,Midnight Kiss
"Biography,Drama,Musical,Romance",5.9,44,Daffodils
"Comedy,Drama",4.9,43,Braking for Whales
"Animation,Drama,Family,Fantasy,Mystery,Romance",4.3,43,12 Pups of Christmas
Drama,5.6,43,Here Awhile
"Animation,Action,Adventure,Comedy,Family",5.1,43,Vic the Viking and the Magic Sword
Documentary,7.2,43,Own The Sky
Family,5.9,43,Next Level
"Comedy,Drama",5.4,43,5 Years Apart
Documentary,6.7,42,Cannabis Evolution
"Comedy,Romance",4.6,42,Christmas Crush
Comedy,5,42,Sister Aimee
Documentary,6.2,42,Deep in Vogue
"Action,Comedy,Family",5.1,42,Bernie the Dolphin 2
"Animation,Adventure,Comedy,Family,Fantasy",5.1,41,Curious George: Royal Monkey
Documentary,5.1,41,Drag Kids
Documentary,6,40,After Parkland
Drama,4.9,39,Where We Go from Here
"Sci-Fi,Thriller",3.6,39,Zoo-Head
