Genres,Hulu,IMDb,Rotten Tomatoes,Title,Year,_id
"Documentary,Biography,Drama",true,6.4,59,Framing John DeLorean,2019,616528458a2fde8299a2afb3
"Drama,Horror,Mystery",true,6.8,55,MOTHER,2020,616528458a2fde8299a2b11b
Documentary,true,6.3,49,Born to Play,2020,616528458a2fde8299a2b364
"Comedy,Drama,Thriller",true,8.6,88,Parasite,2019,616528458a2fde8299a2b902
"Comedy,Crime,Drama,Horror,Romance",true,6.6,83,Happiest Season,2020,616528458a2fde8299a2b911
"Comedy,Drama",true,7,83,Big Time Adolescence,2020,616528458a2fde8299a2b917
"Comedy,Drama",true,7.8,80,Another Round,2020,616528458a2fde8299a2b92a
"Drama,Romance",true,8.1,80,Portrait of a Lady on Fire,2019,616528458a2fde8299a2b92b
"Comedy,Fantasy,Mystery,Romance",true,7.4,79,Palm Springs,2020,616528458a2fde8299a2b92e
Documentary,true,8.2,79,Collective,2020,616528458a2fde8299a2b932
"Biography,Drama,Music,Musical",true,7.3,79,Rocketman,2019,616528458a2fde8299a2b933
Comedy,true,7.2,78,Booksmart,2019,616528458a2fde8299a2b93e
"Adventure,Comedy,Drama",true,7.6,78,The Peanut Butter Falcon,2019,616528458a2fde8299a2b941
"Biography,Comedy,Drama,Sport",true,7.1,77,Fighting With My Family,2019,616528458a2fde8299a2b94e
"Action,Adventure,Sci-Fi",true,6.2,76,Terminator: Dark Fate,2019,616528458a2fde8299a2b95a
"Biography,Drama",true,6.8,76,Bombshell,2019,616528458a2fde8299a2b95e
"Action,Drama,History,Thriller",true,7.6,75,Hotel Mumbai,2019,616528458a2fde8299a2b960
"Comedy,Drama",true,7,75,The Upside,2019,616528458a2fde8299a2b96c
"Mystery,Thriller",true,6.7,74,Run,2020,616528458a2fde8299a2b971
Documentary,true,6.8,74,Fyre Fraud,2019,616528458a2fde8299a2b975
Documentary,true,7.7,74,The Mole Agent,2020,616528458a2fde8299a2b976
"Animation,Adventure,Comedy,Family,Fantasy",true,7,73,The Croods 2,2020,616528458a2fde8299a2b980
"Action,Drama,Sci-Fi,Thriller",true,5.7,73,Gemini Man,2019,616528458a2fde8299a2b991
"Animation,Adventure,Comedy,Family,Fantasy",true,7,73,Abominable,2019,616528458a2fde8299a2b993
"Action,Horror,Thriller",true,6.1,72,Crawl,2019,616528458a2fde8299a2b997
"Adventure,Comedy,Music,Sci-Fi",true,6,72,Bill & Ted Face the Music,2020,616528458a2fde8299a2b99a
"Drama,Horror,Mystery",true,6.7,71,Saint Maud,2019,616528458a2fde8299a2b9ba
"Biography,Drama,Romance",true,6.8,71,Judy,2019,616528458a2fde8299a2b9be
"Action,Adventure,Sci-Fi",true,6.4,70,Sputnik,2020,616528458a2fde8299a2b9c8
"Documentary,Drama",true,8,70,Honeyland,2019,616528458a2fde8299a2b9d4
"Horror,Mystery,Sci-Fi,Thriller",true,6.5,70,Possessor Uncut,2020,616528458a2fde8299a2b9dc
"Animation,Adventure,Comedy,Family,Fantasy,Musical",true,6.1,69,Trolls World Tour,2020,616528458a2fde8299a2b9eb
Documentary,true,8.1,69,The Biggest Little Farm,2019,616528458a2fde8299a2b9ed
"Fantasy,Horror,Thriller",true,5.7,68,Pet Sematary,2019,616528458a2fde8299a2b9f1
"Action,Comedy,Crime,Drama,Mystery,Thriller",true,6.6,68,The Art of Self-Defense,2019,616528458a2fde8299a2b9f3
"Documentary,Biography,Music",true,7.6,68,Zappa,2020,616528458a2fde8299a2b9f5
"Animation,Adventure,Comedy,Family,Fantasy",true,6.7,68,Missing Link,2019,616528458a2fde8299a2b9f9
Documentary,true,6.5,68,The Amazing Johnathan Documentary,2019,616528458a2fde8299a2b9fa
"Adventure,Comedy,Family,Mystery",true,6.1,68,Dora and the Lost City of Gold,2019,616528458a2fde8299a2b9fb
"Comedy,Family,Horror",true,5.8,68,The Addams Family,2019,616528458a2fde8299a2ba00
"Drama,Horror,Mystery,Thriller",true,5.7,67,Antebellum,2020,616528458a2fde8299a2ba08
"Horror,Mystery,Thriller",true,5.7,67,"Child's Play",2019,616528458a2fde8299a2ba0b
"Comedy,Crime",true,5.4,67,The Hustle,2019,616528458a2fde8299a2ba0c
"Biography,Drama,Romance",true,6.5,67,Ammonite,2020,616528458a2fde8299a2ba10
Documentary,true,8.3,67,"Derek DelGaudio's In & of Itself",2020,616528458a2fde8299a2ba11
"Comedy,Drama",true,6.5,67,"Where'd You Go, Bernadette",2019,616528458a2fde8299a2ba16
"Comedy,Drama,Music,Romance",true,7.2,67,Babyteeth,2020,616528458a2fde8299a2ba19
Drama,true,6.3,66,The Assistant,2020,616528458a2fde8299a2ba23
