show/cache_time,show/canonical_name,show/description,show/episodes_count,show/genre,show/name,show/rating,show/seasons_count
2017-08-10T14:53:04+00:00,family-guy,The adventures of an endearingly ignorant dad and his hilariously odd family of middle-class New Englanders.,288,Animation and Cartoons,Family Guy,4.35370739,15
2017-08-10T14:14:33+00:00,south-park,"Underpants-stealing gnomes, a talking Christmas poo, metrosexual Crab People…Every episode of this critically-acclaimed and award-winning show is packed with unforgettable adventures, cutting satire, and hilarious absurdity – from pissed off celebrities to talking towels to crime-fighting kids. So join Kyle, Stan, Kenny and Cartman for the all the dysfunction and all the excitement. For them, it's just a part of growing up in South Park!",274,Comedy,South Park,4.36303207,20
2017-08-10T14:46:51+00:00,american-dad,This screwball family full of radically different personalities is just trying to figure out how to love and trust one another in a bi-partisan world.,172,Comedy,American Dad!,4.114006824,9
2017-08-10T15:00:39+00:00,law-and-order-special-victims-unit,"This hard-hitting and emotional series from NBC's ""Law & Order"" brand chronicles the life and crimes of the Special Victims Unit of the New York City Police Department, an elite squad of detectives who investigate sexually based crimes. ",406,Drama,Law & Order: Special Victims Unit,4.622855997,18
2017-08-10T14:54:31+00:00,naruto-shippuden,"The Village Hidden in the Leaves is home to the stealthiest ninja in the land.  But twelve years earlier, a fearsome Nine-tailed Fox terrorized the village before it was subdued and its spirit sealed within the body of a baby boy.  Now that boy, Naruto, has grown up to become a hyperactive ninja-in-training who's more interested in pranks than schoolwork...but Naruto is determined to become the greatest ninja ever!",597,Anime,Naruto Shippuden,4.400626276,9
2017-08-10T15:20:19+00:00,seinfeld,"Emmy award-winning ""Seinfeld"" is one of the most popular shows on the air. Mining his rich comedic resources, Jerry Seinfeld provides a hysterical look at life as a single adult in the '90s. Along with a refreshing cast and top-notch writing, this series is quickly becoming a comedy classic.",171,Comedy,Seinfeld,4.366506162,9
2017-08-10T15:51:53+00:00,modern-family,"Today's American families come in all shapes and sizes. The cookie cutter mold of man + wife + 2.5 kids is a thing of the past, as it becomes quickly apparent in the bird's eye view of ABC's half-hour comedy, which takes an honest and often hilarious look at the composition and complexity of modern family life.",22,Comedy,Modern Family,4.640557002,1
2017-08-10T14:41:25+00:00,adventure-time,"It's one crazy adventure after another for human boy, Finn, and his best friend, Jake, a 28-year old dog with magical powers. They're out to have the most fun possible and they sure do find it exploring the Land of Ooo! Whether it's saving Princess Bubblegum, battling zombie candy, taunting the Ice King or rocking out with Marceline the Vampire Queen, with Finn and Jake it's always ADVENTURE TIME!",223,Kids,Adventure Time,4.36580305,7
2017-08-10T15:01:46+00:00,saturday-night-live,NBC in association with Broadway Video Enterprises bring you the landmark sketch comedy series.,370,Comedy,Saturday Night Live,4.083795347,18
2017-08-10T14:58:23+00:00,the-mindy-project,"A single-camera comedy, starring Mindy Kaling, that follows a skilled OB/GYN navigating the tricky waters of both her personal and professional life, as she pursues her dreams of becoming the perfect woman, finding the perfect man and getting her perfect romantic comedy ending.",107,Comedy,The Mindy Project,4.440965244,5
