rank,service,title,year
1,HBO,"Hacks: Season 1
                                                                
",2021
2,HBO,"Mare of Easttown: Season 1
                                                                
",2021
3,Netflix,"All Creatures Great and Small (2021): Season 1
                                                                
",2021
4,HBO,"Beartown
                                                                
",2021
5,Netflix,"Lupin: Season 1
                                                                
",2021
6,Netflix,"Waffles and Mochi: Season 1
                                                                
",2021
7,Disney,"1971: The Year That Music Changed Everything
                                                                
",2021
8,HBO,"Exterminate All the Brutes
                                                                
",2021
9,Netflix,"We Are Lady Parts: Season 1
                                                                
",2021
10,Prime,"The Crime of the Century
                                                                
",2021
11,HBO,"The Black Church: This Is Our Story, This Is Our Song
                                                                
",2021
12,Disney,"Too Close: Season 1
                                                                
",2021
13,HBO,"Elizabeth Is Missing
                                                                
",2021
14,HBO,"Painting With John: Season 1
                                                                
",2021
15,Prime,"Hemingway
                                                                
",2021
16,HBO,"Last Chance U: Basketball: Season 1
                                                                
",2021
17,HBO,"It's a Sin
                                                                
",2021
18,Netflix,"Romeo & Juliet
                                                                
",2021
19,Prime,"The Underground Railroad
                                                                
",2021
20,Netflix,"Bo Burnham: Inside
                                                                
",2021
1,Apple,Central Park   (Apple TV+),2020
2,Netflix,Cheer  (Netflix),2020
3,HBO,The Plot Against America   (HBO),2020
4,HBO,I'll Be Gone in the Dark   (HBO),2020
5,Hulu,Normal People   (Hulu),2020
6,Netflix,The Midnight Gospel   (Netflix),2020
7,Netflix,Feel Good   (Netflix),2020
8,SHOWTIME,The Good Lord Bird   (Showtime),2020
9,Apple,Little America   (Apple TV+),2020
10,HBO,I Hate Suzie   (HBO Max),2020
11,Netflix,Immigration Nation   (Netflix),2020
12,Netflix,Unorthodox   (Netflix),2020
13,HBO,P-Valley   (Starz),2020
14,HBO,I May Destroy You   (HBO),2020
15,Disney,Mrs. America (FX on Hulu),2020
16,Netflix,The Baby-Sitters Club   (Netflix),2020
17,Netflix,Lenox Hill   (Netflix),2020
18,Apple,Visible: Out on Television  (Apple TV+),2020
19,Disney,The Last Dance   (ESPN),2020
20,Disney,City So Real   (Nat Geo),2020
1,HBO,A Black Lady Sketch Show  (HBO),2019
2,Netflix,Russian Doll  (Netflix),2019
3,Prime,Undone  (Prime Video),2019
4,HBO,Back to Life  (Showtime),2019
5,Disney,Ramy (Hulu),2019
6,HBO,Watchmen  (HBO),2019
7,Netflix,The Dark Crystal: Age of Resistance (Netflix),2019
8,Disney,Surviving R. Kelly  (Lifetime),2019
9,HBO,Harley Quinn  (DC Universe),2019
10,HBO,Los Espookys  (HBO),2019
11,Netflix,Unbelievable  (Netflix),2019
12,Netflix,PEN15  (Hulu),2019
13,Netflix,Sex Education  (Netflix),2019
14,HBO,State of the Union  (Sundance),2019
15,Disney,David Makes Man  (OWN),2019
16,Netflix,Tuca & Bertie  (Netflix),2019
17,HBO,What We Do in the Shadows  (FX),2019
18,HBO,The Other Two  (Comedy Central),2019
19,HBO,South Side  (Comedy Central),2019
20,HBO,Work in Progress  (Showtime),2019
