Apple,Disney,Genres,HBO,Hulu,IMDb Rating,Netflix,Num Votes,Prime,Release Date,Title,Year,_id
true,0,"Comedy, Drama, Sport",false,false,8.8,false,111413,false,8/14/2020,Ted Lasso,2020,61651abd8a2fde8299a2a994
false,0,"Action, Adventure, Drama, Mystery, Thriller",false,false,8.2,true,147047,false,9/17/2021,Squid Game,2021,61651abd8a2fde8299a2a995
false,0,"Drama, Horror, Mystery",false,false,7.8,true,39527,false,9/22/2021,Midnight Mass,2021,61651abd8a2fde8299a2a996
true,0,"Comedy, Drama, Sport",false,false,8.8,false,111413,false,8/14/2020,Ted Lasso,2020,61651abd8a2fde8299a2a997
true,0,"Drama, Sci-Fi",false,false,7.5,false,13673,false,9/24/2021,Foundation,2021,61651abd8a2fde8299a2a998
,,"Animation, Action, Adventure, Fantasy",,,7.6,,46687,,8/11/2021,What If...?,2021,61651abd8a2fde8299a2a999
false,0,"Comedy, Crime, Drama, Mystery, Thriller",false,false,8.3,true,19463,false,8/31/2021,Only Murders in the Building,2021,61651abd8a2fde8299a2a99a
false,0,"Drama, Mystery, Thriller",false,false,7.1,true,26288,false,8/18/2021,Nine Perfect Strangers,2021,61651abd8a2fde8299a2a99b
,,"Drama, Mystery, Sci-Fi",,,5.1,,2349,,9/28/2021,La Brea,2021,61651abd8a2fde8299a2a99c
true,0,Drama,false,false,8.4,false,72115,false,10/28/2019,The Morning Show,2019,61651abd8a2fde8299a2a99d
false,0,"Crime, Drama, Mystery, Thriller",false,false,8,true,10141,false,9/29/2021,The Chestnut Man,2021,61651abd8a2fde8299a2a99e
,,"Crime, Drama, Mystery, Thriller",,,7.4,,9116,,8/29/2021,Vigil,2021,61651abd8a2fde8299a2a99f
,,"Animation, Action, Adventure, Fantasy, Sci-Fi",,,7.3,,8190,,9/22/2021,Star Wars: Visions,2021,61651abd8a2fde8299a2a9a0
false,0,"Action, Adventure, Drama, Sci-Fi",false,true,6.3,false,6471,false,9/13/2021,Y: The Last Man,2021,61651abd8a2fde8299a2a9a1
false,0,"Crime, Drama, Mystery, Thriller",false,false,7.3,true,32433,false,8/25/2021,Clickbait,2021,61651abd8a2fde8299a2a9a2
false,0,"Action, Fantasy, Mystery, Sci-Fi, Thriller",false,false,7.7,true,30077,false,12/10/2020,Alice in Borderland,2020,61651abd8a2fde8299a2a9a3
true,0,"Action, Drama, Sci-Fi",false,false,7.6,false,57716,false,11/1/2019,See,2019,61651abd8a2fde8299a2a9a4
false,0,"Action, Adventure, Fantasy, Mystery",false,false,8.2,true,352247,false,12/20/2019,The Witcher,2019,61651abd8a2fde8299a2a9a5
false,0,Drama,true,false,8,false,4074,false,9/4/2021,Scenes from a Marriage,2021,61651abd8a2fde8299a2a9a6
,,Drama,,,8.6,,11240,,10/1/2021,Maid,2021,61651abd8a2fde8299a2a9a7
false,0,"Comedy, Drama",true,false,7.7,false,35774,false,7/11/2021,The White Lotus,2021,61651abd8a2fde8299a2a9a8
false,0,"Crime, Drama, Mystery",true,false,8.5,false,107183,false,4/18/2021,Mare of Easttown,2021,61651abd8a2fde8299a2a9a9
,,"Biography, Crime, Drama",,,6.8,,727,,9/26/2021,Black Mafia Family,2021,61651abd8a2fde8299a2a9aa
,,"Action, Adventure, Drama, Mystery, Thriller",,,6.7,,2325,,9/16/2021,The Lost Symbol,2021,61651abd8a2fde8299a2a9ab
,,"Crime, Drama",,,6.9,,1584,,9/5/2021,American Rust,2021,61651abd8a2fde8299a2a9ac
,,"Crime, Drama, Mystery, Thriller",,,6.7,,10942,,11/17/2020,Big Sky,2020,61651abd8a2fde8299a2a9ad
false,0,"Action, Adventure, Sci-Fi",false,false,8.8,true,358273,false,11/12/2019,The Mandalorian,2019,61651abd8a2fde8299a2a9ae
false,0,"Action, Crime, Drama, Thriller",false,false,7,true,1208,false,9/24/2021,Braqueurs,2021,61651abd8a2fde8299a2a9af
,,Drama,,,6.6,,1188,,9/20/2021,Ordinary Joe,2021,61651abd8a2fde8299a2a9b0
,,"Action, Crime",,,5.4,,1438,,9/20/2021,"NCIS: Hawai'i",2021,61651abd8a2fde8299a2a9b1
false,0,"Drama, Romance",false,false,7.3,true,88946,false,12/25/2020,Bridgerton,2020,61651abd8a2fde8299a2a9b2
,,"Crime, Drama, Mystery, Thriller",,,7.6,,4031,,4/1/2021,Law & Order: Organized Crime,2021,61651abd8a2fde8299a2a9b3
