Apple,Disney+,Genres,HBO,Hulu,IMDb,Netflix,Prime Video,Rotten Tomatoes,Title,Year,_id
false,false,"Biography,Crime,Drama",false,false,7.8,true,false,98,The Irishman,2019,616528458a2fde8299a2aa91
false,false,"Documentary,Biography",false,false,9,true,false,95,David Attenborough: A Life on Our Planet,2020,616528458a2fde8299a2aa93
false,false,"Documentary,Drama",false,false,7.6,true,false,93,The Social Dilemma,2020,616528458a2fde8299a2aa97
false,false,"Drama,History,Thriller",false,false,7.8,true,false,92,The Trial of the Chicago 7,2020,616528458a2fde8299a2aa9a
false,false,"Crime,Drama,Mystery,Thriller",false,false,8.2,true,false,92,Article 15,2019,616528458a2fde8299a2aa9b
false,false,"Biography,Comedy,Drama",false,false,7.3,true,false,92,Dolemite Is My Name,2019,616528458a2fde8299a2aa9d
false,false,"Documentary,Crime,Music",false,false,7.2,true,false,91,Fyre,2019,616528458a2fde8299a2aaa0
false,false,"Documentary,Biography,Music",false,false,7.4,true,false,90,Miss Americana,2020,616528458a2fde8299a2aaa1
false,false,"Biography,Drama,History,Romance,War",false,false,7.2,true,false,90,The King,2019,616528458a2fde8299a2aaa5
false,false,"Drama,Mystery,Sci-Fi,Thriller",false,false,6.7,true,false,89,I Am Mother,2019,616528458a2fde8299a2aaa7
false,false,"Drama,Thriller",false,false,7.6,true,false,89,Tell Me Who I Am,2019,616528458a2fde8299a2aaa8
false,false,"Animation,Drama,Fantasy,Romance",false,false,7.6,true,false,89,I Lost My Body,2019,616528458a2fde8299a2aaac
false,false,"Comedy,Drama,Romance",false,false,6.9,true,false,89,The Half of It,2020,616528458a2fde8299a2aaae
false,false,"Biography,Drama,History",false,false,7.6,true,false,89,The Boy Who Harnessed the Wind,2019,616528458a2fde8299a2aaaf
false,false,"Crime,Drama,Thriller",false,false,7.1,true,false,89,The Devil All the Time,2020,616528458a2fde8299a2aab0
false,false,Drama,false,false,7.1,true,false,88,Pieces of a Woman,2020,616528458a2fde8299a2aab2
false,false,"Comedy,Romance",false,false,6.8,true,false,88,Always Be My Maybe,2019,616528458a2fde8299a2aab6
false,false,Comedy,false,false,8.2,true,false,87,Bill Burr: Paper Tiger,2019,616528458a2fde8299a2aab8
false,false,Documentary,false,false,8.3,true,false,87,Kiss the Ground,2020,616528458a2fde8299a2aaba
false,false,"Documentary,History",false,false,7.7,true,false,87,Crip Camp: A Disability Revolution,2020,616528458a2fde8299a2aabb
false,false,"Action,Thriller",false,false,6.7,true,false,87,Extraction,2020,616528458a2fde8299a2aabc
false,false,"Drama,Horror,Thriller",false,false,6.5,true,false,87,His House,2020,616528458a2fde8299a2aabf
false,false,"Comedy,Crime,Drama,Thriller",false,false,8.4,true,false,87,Super Deluxe,2019,616528458a2fde8299a2aac0
false,false,"Documentary,Drama",false,false,7.9,true,false,87,A Secret Love,2020,616528458a2fde8299a2aac2
false,false,Documentary,false,false,7.4,true,false,86,American Factory,2019,616528458a2fde8299a2aac6
false,false,"Animation,Adventure,Comedy,Family,Fantasy,Sci-Fi",false,false,6.8,true,false,86,A Shaun the Sheep Movie: Farmageddon,2019,616528458a2fde8299a2aacb
false,false,"Animation,Action,Adventure,Comedy,Family,Sci-Fi",false,false,7.5,true,false,86,Invader ZIM: Enter the Florpus,2019,616528458a2fde8299a2aad0
false,false,"Comedy,Music",false,false,6.5,true,false,84,Eurovision Song Contest: The Story of Fire Saga,2020,616528458a2fde8299a2aadb
