Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated, Service
1,tt10986410,2021-10-11,2021-10-11,,Ted Lasso,https://www.imdb.com/title/tt10986410/,tvSeries,8.8,30,2020,"Comedy, Drama, Sport",111413,2020-08-14, A,,,
2,tt10919420,2021-10-11,2021-10-11,,Squid Game,https://www.imdb.com/title/tt10919420/,tvSeries,8.2,60,2021,"Action, Adventure, Drama, Mystery, Thriller",147047,2021-09-17, N,,,
3,tt10574558,2021-10-11,2021-10-11,,Midnight Mass,https://www.imdb.com/title/tt10574558/,tvMiniSeries,7.8,450,2021,"Drama, Horror, Mystery",39527,2021-09-22, N,,,
4,tt10986410,2021-10-11,2021-10-11,,Ted Lasso,https://www.imdb.com/title/tt10986410/,tvSeries,8.8,30,2020,"Comedy, Drama, Sport",111413,2020-08-14, A,,,
5,tt0804484,2021-10-11,2021-10-11,,Foundation,https://www.imdb.com/title/tt0804484/,tvSeries,7.5,,2021,"Drama, Sci-Fi",13673,2021-09-24, A,,,
6,tt10168312,2021-10-11,2021-10-11,,What If...?,https://www.imdb.com/title/tt10168312/,tvSeries,7.6,,2021,"Animation, Action, Adventure, Fantasy",46687,2021-08-11,,,
7,tt12851524,2021-10-11,2021-10-11,,Only Murders in the Building,https://www.imdb.com/title/tt12851524/,tvSeries,8.3,,2021,"Comedy, Crime, Drama, Mystery, Thriller",19463,2021-08-31, h,,,
8,tt8760932,2021-10-11,2021-10-11,,Nine Perfect Strangers,https://www.imdb.com/title/tt8760932/,tvMiniSeries,7.1,388,2021,"Drama, Mystery, Thriller",26288,2021-08-18, h,,,
9,tt11640018,2021-10-11,2021-10-11,,La Brea,https://www.imdb.com/title/tt11640018/,tvSeries,5.1,,2021,"Drama, Mystery, Sci-Fi",2349,2021-09-28,,,
10,tt7203552,2021-10-11,2021-10-11,,The Morning Show,https://www.imdb.com/title/tt7203552/,tvSeries,8.4,60,2019,Drama,72115,2019-10-28, A,,,
11,tt10834220,2021-10-11,2021-10-11,,The Chestnut Man,https://www.imdb.com/title/tt10834220/,tvSeries,8.0,50,2021,"Crime, Drama, Mystery, Thriller",10141,2021-09-29, N,,,
12,tt11846996,2021-10-11,2021-10-11,,Vigil,https://www.imdb.com/title/tt11846996/,tvSeries,7.4,,2021,"Crime, Drama, Mystery, Thriller",9116,2021-08-29,,,
13,tt13622982,2021-10-11,2021-10-11,,Star Wars: Visions,https://www.imdb.com/title/tt13622982/,tvSeries,7.3,,2021,"Animation, Action, Adventure, Fantasy, Sci-Fi",8190,2021-09-22,,,
14,tt8042500,2021-10-11,2021-10-11,,Y: The Last Man,https://www.imdb.com/title/tt8042500/,tvSeries,6.3,60,2021,"Action, Adventure, Drama, Sci-Fi",6471,2021-09-13, h,,,
15,tt10888878,2021-10-11,2021-10-11,,Clickbait,https://www.imdb.com/title/tt10888878/,tvMiniSeries,7.3,368,2021,"Crime, Drama, Mystery, Thriller",32433,2021-08-25, N,,,
16,tt10795658,2021-10-11,2021-10-11,,Alice in Borderland,https://www.imdb.com/title/tt10795658/,tvSeries,7.7,50,2020,"Action, Fantasy, Mystery, Sci-Fi, Thriller",30077,2020-12-10, N,,,
17,tt7949218,2021-10-11,2021-10-11,,See,https://www.imdb.com/title/tt7949218/,tvSeries,7.6,60,2019,"Action, Drama, Sci-Fi",57716,2019-11-01, A,,,
18,tt5180504,2021-10-11,2021-10-11,,The Witcher,https://www.imdb.com/title/tt5180504/,tvSeries,8.2,60,2019,"Action, Adventure, Fantasy, Mystery",352247,2019-12-20, N,,,
19,tt12682218,2021-10-11,2021-10-11,,Scenes from a Marriage,https://www.imdb.com/title/tt12682218/,tvMiniSeries,8.0,60,2021,Drama,4074,2021-09-04, H,,,
20,tt11337908,2021-10-11,2021-10-11,,Maid,https://www.imdb.com/title/tt11337908/,tvMiniSeries,8.6,545,2021,Drama,11240,2021-10-01,,,
21,tt13406094,2021-10-11,2021-10-11,,The White Lotus,https://www.imdb.com/title/tt13406094/,tvSeries,7.7,353,2021,"Comedy, Drama",35774,2021-07-11, H,,,
22,tt10155688,2021-10-11,2021-10-11,,Mare of Easttown,https://www.imdb.com/title/tt10155688/,tvMiniSeries,8.5,60,2021,"Crime, Drama, Mystery",107183,2021-04-18, H,,,
23,tt3850598,2021-10-11,2021-10-11,,Black Mafia Family,https://www.imdb.com/title/tt3850598/,tvSeries,6.8,,2021,"Biography, Crime, Drama",727,2021-09-26,,,
24,tt10478054,2021-10-11,2021-10-11,,The Lost Symbol,https://www.imdb.com/title/tt10478054/,tvSeries,6.7,,2021,"Action, Adventure, Drama, Mystery, Thriller",2325,2021-09-16,,,
25,tt1532495,2021-10-11,2021-10-11,,American Rust,https://www.imdb.com/title/tt1532495/,tvSeries,6.9,,2021,"Crime, Drama",1584,2021-09-05,,,
26,tt11794642,2021-10-11,2021-10-11,,Big Sky,https://www.imdb.com/title/tt11794642/,tvSeries,6.7,60,2020,"Crime, Drama, Mystery, Thriller",10942,2020-11-17,,,
27,tt8111088,2021-10-11,2021-10-11,,The Mandalorian,https://www.imdb.com/title/tt8111088/,tvSeries,8.8,40,2019,"Action, Adventure, Sci-Fi",358273,2019-11-12, N,,,
28,tt13278100,2021-10-11,2021-10-11,,Braqueurs,https://www.imdb.com/title/tt13278100/,tvSeries,7.0,44,2021,"Action, Crime, Drama, Thriller",1208,2021-09-24, N,,,
29,tt9288826,2021-10-11,2021-10-11,,Ordinary Joe,https://www.imdb.com/title/tt9288826/,tvSeries,6.6,,2021,Drama,1188,2021-09-20,,,
30,tt14218674,2021-10-11,2021-10-11,,NCIS: Hawai'i,https://www.imdb.com/title/tt14218674/,tvSeries,5.4,,2021,"Action, Crime",1438,2021-09-20,,,
31,tt8740790,2021-10-11,2021-10-11,,Bridgerton,https://www.imdb.com/title/tt8740790/,tvSeries,7.3,60,2020,"Drama, Romance",88946,2020-12-25, N,,,
32,tt12677870,2021-10-11,2021-10-11,,Law & Order: Organized Crime,https://www.imdb.com/title/tt12677870/,tvSeries,7.6,,2021,"Crime, Drama, Mystery, Thriller",4031,2021-04-01,,,
33,tt10970552,2021-10-11,2021-10-11,,The Haunting of Bly Manor,https://www.imdb.com/title/tt10970552/,tvMiniSeries,7.4,494,2020,"Drama, Horror, Mystery, Thriller",83454,2020-10-09, N,,,
34,tt9140554,2021-10-11,2021-10-11,,Loki,https://www.imdb.com/title/tt9140554/,tvSeries,8.3,,2021,"Action, Adventure, Fantasy, Sci-Fi",205035,2021-06-09, D,,,
35,tt12306692,2021-10-11,2021-10-11,,American Horror Stories,https://www.imdb.com/title/tt12306692/,tvSeries,6.1,45,2021,"Drama, Horror, Thriller",11976,2021-07-15, H,,,
36,tt13623580,2021-10-11,2021-10-11,,Reservation Dogs,https://www.imdb.com/title/tt13623580/,tvSeries,8.2,30,2021,"Comedy, Crime",5504,2021-08-08,,,
37,tt14449470,2021-10-11,2021-10-11,,FBI: International,https://www.imdb.com/title/tt14449470/,tvSeries,6.1,,2021,"Crime, Drama",1138,2021-09-21,,,
38,tt11525188,2021-10-11,2021-10-11,,Chapelwaite,https://www.imdb.com/title/tt11525188/,tvSeries,7.5,,2021,"Drama, Horror, Mystery",2983,2021-08-22,,,
39,tt13444408,2021-10-11,2021-10-11,,Kin,https://www.imdb.com/title/tt13444408/,tvSeries,7.8,,2021,"Crime, Drama",1196,2021-09-09,,,
40,tt9742936,2021-10-11,2021-10-11,,FBI: Most Wanted,https://www.imdb.com/title/tt9742936/,tvSeries,6.7,45,2020,"Action, Crime, Drama, Mystery, Thriller",5174,2020-01-07,,,
41,tt10839422,2021-10-11,2021-10-11,,Sex/Life,https://www.imdb.com/title/tt10839422/,tvSeries,5.3,,2021,"Comedy, Drama, Romance",16346,2021-06-25, N,,,
42,tt12682076,2021-10-11,2021-10-11,,The Wonder Years,https://www.imdb.com/title/tt12682076/,tvSeries,5.5,,2021,"Comedy, Drama, Family",1664,2021-09-22,,,
43,tt7660970,2021-10-11,2021-10-11,,The North Water,https://www.imdb.com/title/tt7660970/,tvMiniSeries,7.7,300,2021,"Drama, Mystery",5224,2021-07-15,,,
44,tt10048342,2021-10-11,2021-10-11,,The Queen's Gambit,https://www.imdb.com/title/tt10048342/,tvMiniSeries,8.6,395,2020,Drama,354876,2020-10-23, N,,,
45,tt11815682,2021-10-11,2021-10-11,,Hacks,https://www.imdb.com/title/tt11815682/,tvSeries,8.2,30,2021,"Comedy, Drama",12269,2021-05-13, H,,,
46,tt11698590,2021-10-11,2021-10-11,,Jaguar,https://www.imdb.com/title/tt11698590/,tvSeries,5.7,50,2021,"Action, Drama, History",999,2021-09-22, N,,,
47,tt11815758,2021-10-11,2021-10-11,,The Big Leap,https://www.imdb.com/title/tt11815758/,tvSeries,6.6,,2021,"Comedy, Drama",712,2021-09-20, h,,,
48,tt8722888,2021-10-11,2021-10-11,,Stargirl,https://www.imdb.com/title/tt8722888/,tvSeries,7.2,566,2020,"Action, Adventure, Crime, Drama, Fantasy, Sci-Fi",14043,2020-05-18, H,,,
49,tt10293938,2021-10-11,2021-10-11,,Outer Banks,https://www.imdb.com/title/tt10293938/,tvSeries,7.6,50,2020,"Action, Crime, Drama, Mystery, Romance, Thriller",36254,2020-04-15, N,,,
50,tt12326830,2021-10-11,2021-10-11,,The Sandman,https://www.imdb.com/title/tt12326830/,tvSeries,9.4,,2020,"Drama, Fantasy, Horror, Sci-Fi",715,2020-07-15,,,
51,tt9214684,2021-10-11,2021-10-11,,Home Economics,https://www.imdb.com/title/tt9214684/,tvSeries,6.3,30,2021,Comedy,1959,2021-04-07,,,
52,tt6554240,2021-10-11,2021-10-11,,Heels,https://www.imdb.com/title/tt6554240/,tvSeries,8.1,60,2021,"Drama, Sport",3330,2021-08-15,,,
53,tt9140560,2021-10-11,2021-10-11,,WandaVision,https://www.imdb.com/title/tt9140560/,tvMiniSeries,8.0,350,2021,"Action, Comedy, Drama, Fantasy, Sci-Fi",233846,2021-01-15, D,,,
54,tt11761176,2021-10-11,2021-10-11,,Power Book III: Raising Kanan,https://www.imdb.com/title/tt11761176/,tvSeries,7.3,60,2021,"Crime, Drama",1908,2021-07-18,,,
55,tt9184820,2021-10-11,2021-10-11,,Star Trek: Lower Decks,https://www.imdb.com/title/tt9184820/,tvSeries,7.1,25,2020,"Animation, Action, Adventure, Comedy, Sci-Fi",11774,2020-08-05,,,
56,tt11192306,2021-10-11,2021-10-11,,Superman and Lois,https://www.imdb.com/title/tt11192306/,tvSeries,7.9,42,2021,"Action, Adventure, Drama, Romance, Sci-Fi",21194,2021-02-23, H,,,
57,tt9077530,2021-10-11,2021-10-11,,Virgin River,https://www.imdb.com/title/tt9077530/,tvSeries,7.4,44,2019,"Drama, Romance",30608,2019-12-06, N,,,
58,tt12714854,2021-10-11,2021-10-11,,Mumbai Diaries 26/11,https://www.imdb.com/title/tt12714854/,tvSeries,8.8,,2021,"Drama, Thriller",26295,2021-08-26, P,,,
59,tt10731840,2021-10-11,2021-10-11,,The Premise,https://www.imdb.com/title/tt10731840/,tvSeries,6.1,30,2021,Drama,754,2021-09-16, H,,,
