Apple,Disney+,Genres,HBO,Hulu,IMDb,Netflix,Prime Video,Rotten Tomatoes,Title,Year,_id
false,false,"Biography,Crime,Drama",false,false,7.8,true,false,98,The Irishman,2019,6165e0ee8a2fde8299a2d202
false,false,"Action,Biography,Drama,Sport",false,false,8.4,true,false,97,Dangal,2016,6165e0ee8a2fde8299a2d203
false,false,"Documentary,Biography",false,false,9,true,false,95,David Attenborough: A Life on Our Planet,2020,6165e0ee8a2fde8299a2d204
false,false,"Drama,Musical,Sport",false,false,8.1,true,false,94,Lagaan: Once Upon a Time in India,2001,6165e0ee8a2fde8299a2d205
false,false,"Action,Drama,History,Romance,War",false,false,7.7,true,false,94,Roma,2018,6165e0ee8a2fde8299a2d206
false,false,"Comedy,Drama,Romance",false,false,7.1,true,false,94,"To All the Boys I've Loved Before",2018,6165e0ee8a2fde8299a2d207
false,false,"Documentary,Drama",false,false,7.6,true,false,93,The Social Dilemma,2020,6165e0ee8a2fde8299a2d208
false,false,"Action,Adventure,Drama,Sci-Fi",false,false,7.3,true,false,92,Okja,2017,6165e0ee8a2fde8299a2d209
false,false,"Comedy,Drama,Musical,Mystery,Romance,Western",false,false,7.3,true,false,92,The Ballad of Buster Scruggs,2018,6165e0ee8a2fde8299a2d20a
false,false,"Drama,History,Thriller",false,false,7.8,true,false,92,The Trial of the Chicago 7,2020,6165e0ee8a2fde8299a2d20b
false,false,"Crime,Drama,Mystery,Thriller",false,false,8.2,true,false,92,Article 15,2019,6165e0ee8a2fde8299a2d20c
false,false,Documentary,false,false,7.7,true,false,92,"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017,6165e0ee8a2fde8299a2d20d
false,false,"Biography,Comedy,Drama",false,false,7.3,true,false,92,Dolemite Is My Name,2019,6165e0ee8a2fde8299a2d20e
false,false,"Drama,War",false,false,7.4,true,false,91,Mudbound,2017,6165e0ee8a2fde8299a2d20f
false,false,Drama,false,false,8.2,true,false,91,Swades,2004,6165e0ee8a2fde8299a2d210
false,false,"Documentary,Crime,Music",false,false,7.2,true,false,91,Fyre,2019,6165e0ee8a2fde8299a2d211
false,false,"Documentary,Biography,Music",false,false,7.4,true,false,90,Miss Americana,2020,6165e0ee8a2fde8299a2d212
false,false,"Documentary,War",false,false,8.2,true,false,90,Virunga,2014,6165e0ee8a2fde8299a2d213
false,false,"Action,Crime,Drama,History",false,false,8.5,true,false,90,Black Friday,2004,6165e0ee8a2fde8299a2d214
false,false,"Crime,Drama,Mystery,Thriller",false,false,8.2,true,false,90,Talvar,2015,6165e0ee8a2fde8299a2d215
false,false,"Biography,Drama,History,Romance,War",false,false,7.2,true,false,90,The King,2019,6165e0ee8a2fde8299a2d216
false,false,Comedy,false,false,8,true,false,89,John Mulaney: Kid Gorgeous at Radio City,2018,6165e0ee8a2fde8299a2d217
false,false,"Drama,Mystery,Sci-Fi,Thriller",false,false,6.7,true,false,89,I Am Mother,2019,6165e0ee8a2fde8299a2d218
false,false,"Drama,Thriller",false,false,7.6,true,false,89,Tell Me Who I Am,2019,6165e0ee8a2fde8299a2d219
false,false,"Crime,Drama,Thriller",false,false,8.5,true,false,89,The Departed,2006,6165e0ee8a2fde8299a2d21a
false,false,Documentary,false,false,8.4,true,false,89,"Winter on Fire: Ukraine's Fight for Freedom",2015,6165e0ee8a2fde8299a2d21b
false,false,"Action,Sci-Fi",false,false,8.5,true,false,89,Terminator 2: Judgment Day,1991,6165e0ee8a2fde8299a2d21c
false,false,"Animation,Drama,Fantasy,Romance",false,false,7.6,true,false,89,I Lost My Body,2019,6165e0ee8a2fde8299a2d21d
false,false,"Drama,Western",false,false,8.4,true,false,89,Django Unchained,2012,6165e0ee8a2fde8299a2d21e
false,false,"Comedy,Drama,Romance",false,false,6.9,true,false,89,The Half of It,2020,6165e0ee8a2fde8299a2d21f
false,false,"Biography,Drama,History",false,false,7.6,true,false,89,The Boy Who Harnessed the Wind,2019,6165e0ee8a2fde8299a2d220
false,false,"Crime,Drama,Thriller",false,false,7.1,true,false,89,The Devil All the Time,2020,6165e0ee8a2fde8299a2d221
false,false,"Comedy,Drama",false,false,7.3,true,false,89,The Fundamentals of Caring,2016,6165e0ee8a2fde8299a2d222
false,false,Drama,false,false,7.1,true,false,88,Pieces of a Woman,2020,6165e0ee8a2fde8299a2d223
false,false,"Drama,Horror,Thriller",false,false,6.5,true,false,88,"Gerald's Game",2017,6165e0ee8a2fde8299a2d224
false,false,"Drama,Fantasy,Mystery,Romance",false,false,7.6,true,false,88,On Body and Soul,2017,6165e0ee8a2fde8299a2d225
false,false,"Mystery,Thriller",false,false,8.2,true,false,88,Shutter Island,2010,6165e0ee8a2fde8299a2d226
false,false,"Comedy,Romance",false,false,6.8,true,false,88,Always Be My Maybe,2019,6165e0ee8a2fde8299a2d227
false,false,"Biography,Comedy,Drama",false,false,8.5,true,false,88,The Intouchables,2011,6165e0ee8a2fde8299a2d228
false,false,Comedy,false,false,8.2,true,false,87,Bill Burr: Paper Tiger,2019,6165e0ee8a2fde8299a2d229
false,false,"Crime,Drama,Thriller",false,false,8,true,false,87,Special 26,2013,6165e0ee8a2fde8299a2d22a
false,false,Documentary,false,false,8.3,true,false,87,Kiss the Ground,2020,6165e0ee8a2fde8299a2d22b
false,false,"Documentary,History",false,false,7.7,true,false,87,Crip Camp: A Disability Revolution,2020,6165e0ee8a2fde8299a2d22c
false,false,"Action,Thriller",false,false,6.7,true,false,87,Extraction,2020,6165e0ee8a2fde8299a2d22d
false,false,"Documentary,Biography",false,false,8.5,true,false,87,No Direction Home: Bob Dylan,2005,6165e0ee8a2fde8299a2d22e
false,false,"Drama,Musical,Romance",false,false,7.4,true,false,87,Kabhi Khushi Kabhie Gham,2001,6165e0ee8a2fde8299a2d22f
false,false,"Drama,Horror,Thriller",false,false,6.5,true,false,87,His House,2020,6165e0ee8a2fde8299a2d230
false,false,"Comedy,Crime,Drama,Thriller",false,false,8.4,true,false,87,Super Deluxe,2019,6165e0ee8a2fde8299a2d231
false,false,"Drama,Romance,War",false,false,7.4,true,false,87,The Guernsey Literary & Potato Peel Pie Society,2018,6165e0ee8a2fde8299a2d232
false,false,"Documentary,Drama",false,false,7.9,true,false,87,A Secret Love,2020,6165e0ee8a2fde8299a2d233
false,false,"Action,Thriller",false,false,7,true,false,87,The Night Comes for Us,2018,6165e0ee8a2fde8299a2d234
false,false,"Comedy,Crime,Sport",false,false,8.1,true,false,87,The Big Lebowski,1998,6165e0ee8a2fde8299a2d235
false,false,"Comedy,Drama",false,false,7.9,true,false,87,Pad Man,2018,6165e0ee8a2fde8299a2d236
false,false,Documentary,false,false,7.4,true,false,86,American Factory,2019,6165e0ee8a2fde8299a2d237
false,false,"Horror,Sci-Fi",false,false,6.6,true,false,86,Bird Box,2018,6165e0ee8a2fde8299a2d238
false,false,"Biography,Drama,Music,War",false,false,8.5,true,false,86,The Pianist,2002,6165e0ee8a2fde8299a2d239
