Disney+,Genres,Hulu,IMDb,Netflix,Prime Video,Rotten Tomatoes,Runtime,Title,Year,_id
false,"Biography,Crime,Drama",false,7.8,true,false,98,209,The Irishman,2019,6163fd7662fe85987e167b39
false,"Action,Biography,Drama,Sport",false,8.4,true,false,97,161,Dangal,2016,6163fd7662fe85987e167b3a
false,"Documentary,Biography",false,9,true,false,95,83,David Attenborough: A Life on Our Planet,2020,6163fd7662fe85987e167b3b
false,"Drama,Musical,Sport",false,8.1,true,false,94,224,Lagaan: Once Upon a Time in India,2001,6163fd7662fe85987e167b3c
false,"Action,Drama,History,Romance,War",false,7.7,true,false,94,52,Roma,2018,6163fd7662fe85987e167b3d
false,"Comedy,Drama,Romance",false,7.1,true,false,94,99,"To All the Boys I've Loved Before",2018,6163fd7662fe85987e167b3e
false,"Documentary,Drama",false,7.6,true,false,93,94,The Social Dilemma,2020,6163fd7662fe85987e167b3f
false,"Action,Adventure,Drama,Sci-Fi",false,7.3,true,false,92,120,Okja,2017,6163fd7662fe85987e167b40
false,"Comedy,Drama,Musical,Mystery,Romance,Western",false,7.3,true,false,92,133,The Ballad of Buster Scruggs,2018,6163fd7662fe85987e167b41
false,"Drama,History,Thriller",false,7.8,true,false,92,129,The Trial of the Chicago 7,2020,6163fd7662fe85987e167b42
false,"Crime,Drama,Mystery,Thriller",false,8.2,true,false,92,130,Article 15,2019,6163fd7662fe85987e167b43
false,Documentary,false,7.7,true,false,92,94,"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017,6163fd7662fe85987e167b44
false,"Biography,Comedy,Drama",false,7.3,true,false,92,118,Dolemite Is My Name,2019,6163fd7662fe85987e167b45
false,"Drama,War",false,7.4,true,false,91,134,Mudbound,2017,6163fd7662fe85987e167b46
false,Drama,false,8.2,true,false,91,210,Swades,2004,6163fd7662fe85987e167b47
false,"Documentary,Crime,Music",false,7.2,true,false,91,97,Fyre,2019,6163fd7662fe85987e167b48
false,"Documentary,Biography,Music",false,7.4,true,false,90,85,Miss Americana,2020,6163fd7662fe85987e167b49
false,"Documentary,War",false,8.2,true,false,90,100,Virunga,2014,6163fd7662fe85987e167b4a
false,"Action,Crime,Drama,History",false,8.5,true,false,90,143,Black Friday,2004,6163fd7662fe85987e167b4b
false,"Crime,Drama,Mystery,Thriller",false,8.2,true,false,90,132,Talvar,2015,6163fd7662fe85987e167b4c
false,"Biography,Drama,History,Romance,War",false,7.2,true,false,90,140,The King,2019,6163fd7662fe85987e167b4d
false,Comedy,false,8,true,false,89,65,John Mulaney: Kid Gorgeous at Radio City,2018,6163fd7662fe85987e167b4e
false,"Drama,Mystery,Sci-Fi,Thriller",false,6.7,true,false,89,113,I Am Mother,2019,6163fd7662fe85987e167b4f
false,"Drama,Thriller",false,7.6,true,false,89,,Tell Me Who I Am,2019,6163fd7662fe85987e167b50
