Title,Year,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,HBO,Apple,Genres
The Irishman,2019,7.8,98,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Biography,Crime,Drama"
Dangal,2016,8.4,97,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Action,Biography,Drama,Sport"
David Attenborough: A Life on Our Planet,2020,9,95,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Documentary,Biography"
Lagaan: Once Upon a Time in India,2001,8.1,94,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Drama,Musical,Sport"
Roma,2018,7.7,94,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Action,Drama,History,Romance,War"
To All the Boys I've Loved Before,2018,7.1,94,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Comedy,Drama,Romance"
The Social Dilemma,2020,7.6,93,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Documentary,Drama"
Okja,2017,7.3,92,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Action,Adventure,Drama,Sci-Fi"
The Ballad of Buster Scruggs,2018,7.3,92,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Comedy,Drama,Musical,Mystery,Romance,Western"
The Trial of the Chicago 7,2020,7.8,92,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Drama,History,Thriller"
Article 15,2019,8.2,92,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Crime,Drama,Mystery,Thriller"
"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017,7.7,92,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Documentary
Dolemite Is My Name,2019,7.3,92,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Biography,Comedy,Drama"
Mudbound,2017,7.4,91,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Drama,War"
Swades,2004,8.2,91,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Drama
Fyre,2019,7.2,91,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Documentary,Crime,Music"
Miss Americana,2020,7.4,90,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Documentary,Biography,Music"
Virunga,2014,8.2,90,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Documentary,War"
Black Friday,2004,8.5,90,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Action,Crime,Drama,History"
Talvar,2015,8.2,90,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Crime,Drama,Mystery,Thriller"
The King,2019,7.2,90,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Biography,Drama,History,Romance,War"
John Mulaney: Kid Gorgeous at Radio City,2018,8,89,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Comedy
I Am Mother,2019,6.7,89,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Drama,Mystery,Sci-Fi,Thriller"
Tell Me Who I Am,2019,7.6,89,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Drama,Thriller"
The Departed,2006,8.5,89,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Crime,Drama,Thriller"
Winter on Fire: Ukraine's Fight for Freedom,2015,8.4,89,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Documentary
Terminator 2: Judgment Day,1991,8.5,89,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Action,Sci-Fi"
I Lost My Body,2019,7.6,89,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Animation,Drama,Fantasy,Romance"
Django Unchained,2012,8.4,89,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Drama,Western"
The Half of It,2020,6.9,89,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Comedy,Drama,Romance"
The Boy Who Harnessed the Wind,2019,7.6,89,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Biography,Drama,History"
The Devil All the Time,2020,7.1,89,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Crime,Drama,Thriller"
The Fundamentals of Caring,2016,7.3,89,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Comedy,Drama"
Pieces of a Woman,2020,7.1,88,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Drama
Gerald's Game,2017,6.5,88,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Drama,Horror,Thriller"
On Body and Soul,2017,7.6,88,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Drama,Fantasy,Mystery,Romance"
