Genres,IMDb,Netflix,Rotten Tomatoes,Title,Year,_id
"Biography,Crime,Drama",7.8,true,98,The Irishman,2019,6163f0ed62fe85987e156a80
"Crime,Drama,Mystery,Thriller",8.2,true,92,Article 15,2019,6163f0ed62fe85987e156a8a
"Biography,Comedy,Drama",7.3,true,92,Dolemite Is My Name,2019,6163f0ed62fe85987e156a8c
"Documentary,Crime,Music",7.2,true,91,Fyre,2019,6163f0ed62fe85987e156a8f
"Biography,Drama,History,Romance,War",7.2,true,90,The King,2019,6163f0ed62fe85987e156a94
"Drama,Mystery,Sci-Fi,Thriller",6.7,true,89,I Am Mother,2019,6163f0ed62fe85987e156a96
"Drama,Thriller",7.6,true,89,Tell Me Who I Am,2019,6163f0ed62fe85987e156a97
"Animation,Drama,Fantasy,Romance",7.6,true,89,I Lost My Body,2019,6163f0ed62fe85987e156a9b
"Biography,Drama,History",7.6,true,89,The Boy Who Harnessed the Wind,2019,6163f0ed62fe85987e156a9e
"Comedy,Romance",6.8,true,88,Always Be My Maybe,2019,6163f0ed62fe85987e156aa5
Comedy,8.2,true,87,Bill Burr: Paper Tiger,2019,6163f0ed62fe85987e156aa7
"Comedy,Crime,Drama,Thriller",8.4,true,87,Super Deluxe,2019,6163f0ed62fe85987e156aaf
Documentary,7.4,true,86,American Factory,2019,6163f0ed62fe85987e156ab5
"Animation,Adventure,Comedy,Family,Fantasy,Sci-Fi",6.8,true,86,A Shaun the Sheep Movie: Farmageddon,2019,6163f0ed62fe85987e156aba
"Animation,Action,Adventure,Comedy,Family,Sci-Fi",7.5,true,86,Invader ZIM: Enter the Florpus,2019,6163f0ed62fe85987e156abf
Comedy,8.5,true,84,Dave Chappelle: Sticks & Stones,2019,6163f0ed62fe85987e156acd
"Comedy,Drama",7.2,true,84,Paddleton,2019,6163f0ed62fe85987e156adb
"Documentary,History",7.2,true,83,The Edge of Democracy,2019,6163f0ed62fe85987e156ae1
"Comedy,Drama,Romance",7.9,true,83,Marriage Story,2019,6163f0ed62fe85987e156ae8
"Action,Drama,History,Thriller,War",7.2,true,82,The Endless Trench,2019,6163f0ed62fe85987e156afa
"Documentary,Biography,History",7.1,true,81,Circus of Books,2019,6163f0ed62fe85987e156b0c
"Crime,Drama,Thriller",7.4,true,80,Uncut Gems,2019,6163f0ed62fe85987e156b1c
"Drama,Romance",7.6,true,80,The Sky Is Pink,2019,6163f0ed62fe85987e156b1f
"Crime,Drama,Mystery,Thriller",7.8,true,80,Badla,2019,6163f0ed62fe85987e156b24
"Biography,Comedy,Drama,Music",7,true,79,The Dirt,2019,6163f0ed62fe85987e156b33
"Drama,Mystery,Romance",6.7,true,79,Atlantics,2019,6163f0ed62fe85987e156b35
Drama,7.3,true,79,37 Seconds,2019,6163f0ed62fe85987e156b36
"Action,Crime,Drama",7.3,true,79,El Camino: A Breaking Bad Movie,2019,6163f0ed62fe85987e156b37
"Drama,Horror,Thriller",5.6,true,79,Get In,2019,6163f0ed62fe85987e156b3e
"Documentary,Biography,Music",7.5,true,79,"ZZ Top: That Little Ol' Band From Texas",2019,6163f0ed62fe85987e156b3f
Comedy,7.7,true,78,Mike Birbiglia: The New One,2019,6163f0ed62fe85987e156b41
"Animation,Adventure,Comedy,Family",8.2,true,78,Klaus,2019,6163f0ed62fe85987e156b43
Biography,7.4,true,78,Miles Davis: Birth of the Cool,2019,6163f0ed62fe85987e156b52
Documentary,7.1,true,78,Screwball,2019,6163f0ed62fe85987e156b54
"Documentary,Crime",7.1,true,77,Roll Red Roll,2019,6163f0ed62fe85987e156b66
Drama,8.2,true,77,Miracle in Cell No. 7,2019,6163f0ed62fe85987e156b6b
Documentary,7.3,true,77,Trixie Mattel: Moving Parts,2019,6163f0ed62fe85987e156b6d
Drama,7.1,true,77,Evelyn,2019,6163f0ed62fe85987e156b6f
"Crime,Mystery,Sci-Fi,Thriller",6.2,true,77,In the Shadow of the Moon,2019,6163f0ed62fe85987e156b71
"Action,Comedy,Crime,Mystery,Romance",6,true,76,Murder Mystery,2019,6163f0ed62fe85987e156b7c
"Comedy,Drama",7.6,true,76,The Two Popes,2019,6163f0ed62fe85987e156b87
"Action,Adventure,Sci-Fi,Thriller",6,true,76,The Wandering Earth,2019,6163f0ed62fe85987e156b88
Thriller,6.6,true,76,Eye for an Eye,2019,6163f0ed62fe85987e156b8a
"Action,Thriller",6.1,true,75,6 Underground,2019,6163f0ed62fe85987e156b98
"Action,Drama",7.3,true,75,Petta,2019,6163f0ed62fe85987e156b9a
