Genres,IMDb,Netflix,Rotten Tomatoes,Title,Year,_id
"Biography,Crime,Drama",7.8,true,98,The Irishman,2019,616528458a2fde8299a2aa91
"Documentary,Biography",9,true,95,David Attenborough: A Life on Our Planet,2020,616528458a2fde8299a2aa93
"Documentary,Drama",7.6,true,93,The Social Dilemma,2020,616528458a2fde8299a2aa97
"Drama,History,Thriller",7.8,true,92,The Trial of the Chicago 7,2020,616528458a2fde8299a2aa9a
"Crime,Drama,Mystery,Thriller",8.2,true,92,Article 15,2019,616528458a2fde8299a2aa9b
"Biography,Comedy,Drama",7.3,true,92,Dolemite Is My Name,2019,616528458a2fde8299a2aa9d
"Documentary,Crime,Music",7.2,true,91,Fyre,2019,616528458a2fde8299a2aaa0
"Documentary,Biography,Music",7.4,true,90,Miss Americana,2020,616528458a2fde8299a2aaa1
"Biography,Drama,History,Romance,War",7.2,true,90,The King,2019,616528458a2fde8299a2aaa5
"Drama,Mystery,Sci-Fi,Thriller",6.7,true,89,I Am Mother,2019,616528458a2fde8299a2aaa7
"Drama,Thriller",7.6,true,89,Tell Me Who I Am,2019,616528458a2fde8299a2aaa8
"Animation,Drama,Fantasy,Romance",7.6,true,89,I Lost My Body,2019,616528458a2fde8299a2aaac
"Comedy,Drama,Romance",6.9,true,89,The Half of It,2020,616528458a2fde8299a2aaae
"Biography,Drama,History",7.6,true,89,The Boy Who Harnessed the Wind,2019,616528458a2fde8299a2aaaf
"Crime,Drama,Thriller",7.1,true,89,The Devil All the Time,2020,616528458a2fde8299a2aab0
Drama,7.1,true,88,Pieces of a Woman,2020,616528458a2fde8299a2aab2
"Comedy,Romance",6.8,true,88,Always Be My Maybe,2019,616528458a2fde8299a2aab6
Comedy,8.2,true,87,Bill Burr: Paper Tiger,2019,616528458a2fde8299a2aab8
Documentary,8.3,true,87,Kiss the Ground,2020,616528458a2fde8299a2aaba
"Documentary,History",7.7,true,87,Crip Camp: A Disability Revolution,2020,616528458a2fde8299a2aabb
"Action,Thriller",6.7,true,87,Extraction,2020,616528458a2fde8299a2aabc
"Drama,Horror,Thriller",6.5,true,87,His House,2020,616528458a2fde8299a2aabf
"Comedy,Crime,Drama,Thriller",8.4,true,87,Super Deluxe,2019,616528458a2fde8299a2aac0
"Documentary,Drama",7.9,true,87,A Secret Love,2020,616528458a2fde8299a2aac2
Documentary,7.4,true,86,American Factory,2019,616528458a2fde8299a2aac6
"Animation,Adventure,Comedy,Family,Fantasy,Sci-Fi",6.8,true,86,A Shaun the Sheep Movie: Farmageddon,2019,616528458a2fde8299a2aacb
"Animation,Action,Adventure,Comedy,Family,Sci-Fi",7.5,true,86,Invader ZIM: Enter the Florpus,2019,616528458a2fde8299a2aad0
"Comedy,Music",6.5,true,84,Eurovision Song Contest: The Story of Fire Saga,2020,616528458a2fde8299a2aadb
Comedy,8.5,true,84,Dave Chappelle: Sticks & Stones,2019,616528458a2fde8299a2aade
"Drama,Music",7,true,84,"Ma Rainey's Black Bottom",2020,616528458a2fde8299a2aae5
"Animation,Adventure,Comedy,Family,Fantasy,Musical,Sci-Fi",6.4,true,84,Over the Moon,2020,616528458a2fde8299a2aae8
"Comedy,Drama",7.2,true,84,Paddleton,2019,616528458a2fde8299a2aaec
"Drama,Thriller",7.1,true,83,The Hater,2020,616528458a2fde8299a2aaf1
"Documentary,History",7.2,true,83,The Edge of Democracy,2019,616528458a2fde8299a2aaf2
"Comedy,Drama,Romance",7.9,true,83,Marriage Story,2019,616528458a2fde8299a2aaf9
Documentary,8.1,true,83,My Octopus Teacher,2020,616528458a2fde8299a2aafa
Drama,6.8,true,82,The Life Ahead,2020,616528458a2fde8299a2ab04
"Action,Drama,History,Thriller,War",7.2,true,82,The Endless Trench,2019,616528458a2fde8299a2ab0b
"Animation,Adventure,Family,Fantasy,Romance",6.7,true,81,A Whisker Away,2020,616528458a2fde8299a2ab16
"Documentary,Biography,History",7.1,true,81,Circus of Books,2019,616528458a2fde8299a2ab1d
"Crime,Drama,Thriller",7.4,true,80,Uncut Gems,2019,616528458a2fde8299a2ab2d
"Drama,Romance",7.6,true,80,The Sky Is Pink,2019,616528458a2fde8299a2ab30
"Crime,Drama,Mystery,Thriller",7.8,true,80,Badla,2019,616528458a2fde8299a2ab35
"Animation,Adventure,Comedy,Family",6.4,true,80,The Willoughbys,2020,616528458a2fde8299a2ab37
"Documentary,Short,Sport",7.4,true,79,The Speed Cubers,2020,616528458a2fde8299a2ab42
"Biography,Comedy,Drama,Music",7,true,79,The Dirt,2019,616528458a2fde8299a2ab44
"Drama,Mystery,Romance",6.7,true,79,Atlantics,2019,616528458a2fde8299a2ab46
Drama,7.3,true,79,37 Seconds,2019,616528458a2fde8299a2ab47
"Action,Crime,Drama",7.3,true,79,El Camino: A Breaking Bad Movie,2019,616528458a2fde8299a2ab48
"Drama,Horror,Thriller",5.6,true,79,Get In,2019,616528458a2fde8299a2ab4f
"Documentary,Biography,Music",7.5,true,79,"ZZ Top: That Little Ol' Band From Texas",2019,616528458a2fde8299a2ab50
Comedy,7.7,true,78,Mike Birbiglia: The New One,2019,616528458a2fde8299a2ab52
"Animation,Adventure,Comedy,Family",8.2,true,78,Klaus,2019,616528458a2fde8299a2ab54
Biography,7.4,true,78,Miles Davis: Birth of the Cool,2019,616528458a2fde8299a2ab63
Documentary,7.1,true,78,Screwball,2019,616528458a2fde8299a2ab65
"Action,Adventure,Fantasy,Thriller",6.7,true,78,The Old Guard,2020,616528458a2fde8299a2ab66
"Documentary,Crime",7.1,true,77,Roll Red Roll,2019,616528458a2fde8299a2ab77
"Action,Adventure,Crime,Drama,Mystery",6.6,true,77,Enola Holmes,2020,616528458a2fde8299a2ab78
Drama,8.2,true,77,Miracle in Cell No. 7,2019,616528458a2fde8299a2ab7c
