Genres,IMDb,Netflix,Rotten Tomatoes,Title,Year
"Documentary,Biography",9,true,95,David Attenborough: A Life on Our Planet,2020
"Documentary,Drama",7.6,true,93,The Social Dilemma,2020
"Drama,History,Thriller",7.8,true,92,The Trial of the Chicago 7,2020
"Documentary,Biography,Music",7.4,true,90,Miss Americana,2020
"Comedy,Drama,Romance",6.9,true,89,The Half of It,2020
"Crime,Drama,Thriller",7.1,true,89,The Devil All the Time,2020
Drama,7.1,true,88,Pieces of a Woman,2020
Documentary,8.3,true,87,Kiss the Ground,2020
"Documentary,History",7.7,true,87,Crip Camp: A Disability Revolution,2020
"Action,Thriller",6.7,true,87,Extraction,2020
"Drama,Horror,Thriller",6.5,true,87,His House,2020
"Documentary,Drama",7.9,true,87,A Secret Love,2020
"Comedy,Music",6.5,true,84,Eurovision Song Contest: The Story of Fire Saga,2020
"Drama,Music",7,true,84,"Ma Rainey's Black Bottom",2020
"Animation,Adventure,Comedy,Family,Fantasy,Musical,Sci-Fi",6.4,true,84,Over the Moon,2020
"Drama,Thriller",7.1,true,83,The Hater,2020
Documentary,8.1,true,83,My Octopus Teacher,2020
Drama,6.8,true,82,The Life Ahead,2020
"Animation,Adventure,Family,Fantasy,Romance",6.7,true,81,A Whisker Away,2020
"Animation,Adventure,Comedy,Family",6.4,true,80,The Willoughbys,2020
"Documentary,Short,Sport",7.4,true,79,The Speed Cubers,2020
"Action,Adventure,Fantasy,Thriller",6.7,true,78,The Old Guard,2020
"Action,Adventure,Crime,Drama,Mystery",6.6,true,77,Enola Holmes,2020
Drama,6.3,true,75,Uncorked,2020
"Documentary,Comedy",6.8,true,74,Have a Good Trip: Adventures in Psychedelics,2020
"Drama,Music",6.5,true,74,"Nobody Knows I'm Here",2020
"Biography,Comedy,Drama",6.9,true,74,Mank,2020
"Action,Crime,Thriller",6.2,true,73,Lost Bullet,2020
"Comedy,Horror",5.8,true,73,The Babysitter: Killer Queen,2020
Documentary,6.9,true,73,Spelling the Dream,2020
"Action,Comedy,Crime,Drama,Mystery,Thriller",6.2,true,73,Spenser Confidential,2020
"Comedy,Romance",6.1,true,73,Holidate,2020
"Drama,Mystery,Thriller",6,true,72,Horse Girl,2020
Drama,6.7,true,72,Hillbilly Elegy,2020
"Drama,Thriller",6.6,true,71,"I'm Thinking of Ending Things",2020
Comedy,6.7,true,71,Jerry Seinfeld: 23 Hours to Kill,2020
Comedy,6.6,true,71,Bad Trip,2020
"Drama,Fantasy,Sci-Fi,Thriller",5.6,true,71,The Midnight Sky,2020
"Drama,Sci-Fi,Thriller",6.2,true,71,Synchronic,2020
"Adventure,Drama,War",6.5,true,70,Da 5 Bloods,2020
"Action,Crime,Drama,Thriller",5.4,true,70,Ava,2020
"Comedy,Crime",5.9,true,70,Go!,2020
"Comedy,Romance",5.7,true,70,The Wrong Missy,2020
"Action,Drama,War",7.2,true,70,Mosul,2020
"Drama,Thriller",8.2,true,69,Disclosure,2020
"Action,Crime,Sci-Fi,Thriller",6,true,69,Project Power,2020
Comedy,6.8,true,69,Death to 2020,2020
