rank,service,title,year
3,Netflix,"All Creatures Great and Small (2021): Season 1
                                                                
",2021
5,Netflix,"Lupin: Season 1
                                                                
",2021
6,Netflix,"Waffles and Mochi: Season 1
                                                                
",2021
9,Netflix,"We Are Lady Parts: Season 1
                                                                
",2021
18,Netflix,"Romeo & Juliet
                                                                
",2021
20,Netflix,"Bo Burnham: Inside
                                                                
",2021
2,Netflix,Cheer  (Netflix),2020
6,Netflix,The Midnight Gospel   (Netflix),2020
7,Netflix,Feel Good   (Netflix),2020
11,Netflix,Immigration Nation   (Netflix),2020
12,Netflix,Unorthodox   (Netflix),2020
16,Netflix,The Baby-Sitters Club   (Netflix),2020
17,Netflix,Lenox Hill   (Netflix),2020
2,Netflix,Russian Doll  (Netflix),2019
7,Netflix,The Dark Crystal: Age of Resistance (Netflix),2019
11,Netflix,Unbelievable  (Netflix),2019
12,Netflix,PEN15  (Hulu),2019
13,Netflix,Sex Education  (Netflix),2019
16,Netflix,Tuca & Bertie  (Netflix),2019
