Genres,IMDb,Netflix,Rotten Tomatoes,Title,Year,_id
"Comedy,Drama,Music",8.8,true,81,Bo Burnham: Inside,2021,6165e0ee8a2fde8299a2d28c
"Biography,Drama,History",7.1,true,75,The Dig,2021,6165e0ee8a2fde8299a2d321
"Action,Crime,Horror,Sci-Fi,Thriller",5.8,true,75,Army of the Dead,2021,6165e0ee8a2fde8299a2d333
"Crime,Drama",7.1,true,75,The White Tiger,2021,6165e0ee8a2fde8299a2d33b
"Comedy,Crime,Thriller",6.3,true,74,I Care a Lot,2021,6165e0ee8a2fde8299a2d344
"Animation,Adventure,Comedy,Family,Fantasy",7.2,true,73,Wish Dragon,2021,6165e0ee8a2fde8299a2d36e
"Comedy,Talk-Show",7.7,true,73,The Mitchells vs. The Machines,2021,6165e0ee8a2fde8299a2d37a
"Drama,Horror,Mystery",6.8,true,73,Fear Street Part Two: 1978,2021,6165e0ee8a2fde8299a2d383
"Action,Adventure,Thriller",6,true,73,Gunpowder Milkshake,2021,6165e0ee8a2fde8299a2d385
"Action,Adventure,Drama,Thriller",5.6,true,72,The Ice Road,2021,6165e0ee8a2fde8299a2d3bc
"Horror,Mystery",6.7,true,70,Fear Street: 1666,2021,6165e0ee8a2fde8299a2d3fd
"Drama,Horror,Mystery",6.2,true,69,Fear Street: 1994,2021,6165e0ee8a2fde8299a2d435
"Action,Adventure,Fantasy,Sci-Fi",5.4,true,69,Outside the Wire,2021,6165e0ee8a2fde8299a2d439
"Animation,Action,Adventure,Comedy,Drama,Family,Fantasy",7,true,69,Trollhunters: Rise of the Titans,2021,6165e0ee8a2fde8299a2d446
"Comedy,Drama",6.7,true,69,Fatherhood,2021,6165e0ee8a2fde8299a2d45a
"Action,Adventure,Drama",7.2,true,67,Rurouni Kenshin: The Final,2021,6165e0ee8a2fde8299a2d48a
"Action,Adventure",6.3,true,67,Major Grom: Plague Doctor,2021,6165e0ee8a2fde8299a2d491
"Documentary,Adventure",8.2,true,67,Seaspiracy,2021,6165e0ee8a2fde8299a2d493
"Comedy,Drama,Music",6.7,true,67,Moxie,2021,6165e0ee8a2fde8299a2d495
"Drama,Fantasy,Sci-Fi,Thriller",6.5,true,67,Oxygen,2021,6165e0ee8a2fde8299a2d497
Drama,6.8,true,67,Penguin Bloom,2021,6165e0ee8a2fde8299a2d4a2
"Drama,Sci-Fi,Thriller",5.6,true,67,Stowaway,2021,6165e0ee8a2fde8299a2d4ad
"Action,Drama,History,Horror,Thriller",7.1,true,67,Kingdom: Ashin of the North,2021,6165e0ee8a2fde8299a2d4b3
"Adventure,Biography,Drama,Family",6.7,true,67,Blue Miracle,2021,6165e0ee8a2fde8299a2d4b6
"Crime,Drama,Mystery,Thriller",5.7,true,67,The Woman in the Window,2021,6165e0ee8a2fde8299a2d4c3
"Comedy,Romance",5.6,true,66,Good on Paper,2021,6165e0ee8a2fde8299a2d4d4
"Comedy,Family",5.7,true,66,Yes Day,2021,6165e0ee8a2fde8299a2d4df
"Action,Horror,Thriller",6.1,true,66,Blood Red Sky,2021,6165e0ee8a2fde8299a2d4e0
"Action,Crime,Drama,Thriller",7,true,66,Ferry,2021,6165e0ee8a2fde8299a2d4e7
"Drama,Romance",6.8,true,66,The Last Letter From Your Lover,2021,6165e0ee8a2fde8299a2d4ee
"Crime,Drama,Mystery,Romance,Thriller",6.9,true,65,Haseen Dillruba,2021,6165e0ee8a2fde8299a2d509
"Action,Crime,Drama,Thriller",5.8,true,65,Xtreme,2021,6165e0ee8a2fde8299a2d528
"Comedy,Drama,Romance",6.3,true,65,To All the Boys: Always and Forever,2021,6165e0ee8a2fde8299a2d52c
Documentary,7.8,true,65,Breaking Boundaries: The Science of Our Planet,2021,6165e0ee8a2fde8299a2d52d
"Action,Adventure,Comedy,Fantasy,Sci-Fi",4.4,true,65,Thunder Force,2021,6165e0ee8a2fde8299a2d53b
"Action,Adventure,Drama,Fantasy,Sci-Fi",6.6,true,65,Space Sweepers,2021,6165e0ee8a2fde8299a2d53e
"Comedy,Drama",8.4,true,64,Mimi,2021,6165e0ee8a2fde8299a2d56f
"Action,Adventure,Crime,Drama,Thriller",6.2,true,64,Below Zero,2021,6165e0ee8a2fde8299a2d587
"Crime,Drama,Mystery,Thriller",5.8,true,63,I Am All Girls,2021,6165e0ee8a2fde8299a2d5c0
"Action,Crime,Drama,Thriller",6,true,63,Jagame Thandhiram,2021,6165e0ee8a2fde8299a2d5c1
"Action,Adventure,Drama,Sci-Fi,Thriller",4.8,true,63,Awake,2021,6165e0ee8a2fde8299a2d5c5
"Drama,Romance",6.7,true,63,Malcolm & Marie,2021,6165e0ee8a2fde8299a2d5c7
"Animation,Action,Adventure,Comedy,History,Sci-Fi",5.7,true,63,America: The Motion Picture,2021,6165e0ee8a2fde8299a2d5d8
"Action,Adventure,Comedy,Family",6.1,true,62,"Finding 'Ohana",2021,6165e0ee8a2fde8299a2d5e3
"Biography,Drama,Sport",7,true,62,Pelé,2021,6165e0ee8a2fde8299a2d5f4
"Action,Adventure,Comedy,Drama,Fantasy,Thriller",5.8,true,62,How I Became a Superhero,2021,6165e0ee8a2fde8299a2d609
"Animation,Adventure,Comedy,Family,Fantasy",6.2,true,62,Secret Magic Control Agency,2021,6165e0ee8a2fde8299a2d61e
Thriller,8.2,true,61,Nayattu,2021,6165e0ee8a2fde8299a2d623
"Comedy,Drama",8.5,true,61,Mandela,2021,6165e0ee8a2fde8299a2d63f
"Horror,Mystery",4.4,true,61,The Seventh Day,2021,6165e0ee8a2fde8299a2d645
"Drama,Horror,Mystery,Thriller",5.3,true,61,Things Heard & Seen,2021,6165e0ee8a2fde8299a2d64e
"Biography,Crime,Drama,Thriller",6.5,true,61,Monster,2021,6165e0ee8a2fde8299a2d65d
"Drama,Horror,Thriller",5.5,true,61,Red Dot,2021,6165e0ee8a2fde8299a2d667
"Drama,Family,Sport",6.7,true,61,Skater Girl,2021,6165e0ee8a2fde8299a2d66b
"Documentary,Crime,History,Mystery",6.5,true,60,Murder by the Coast,2021,6165e0ee8a2fde8299a2d66e
"Documentary,Crime,History",6.7,true,60,"Crack: Cocaine, Corruption & Conspiracy",2021,6165e0ee8a2fde8299a2d670
"Documentary,Crime,History",6.3,true,60,Nail Bomber: Manhunt,2021,6165e0ee8a2fde8299a2d676
Drama,6.7,true,60,Paper Lives,2021,6165e0ee8a2fde8299a2d6a8
"Documentary,Biography,Music",6.9,true,60,Biggie: I Got a Story to Tell,2021,6165e0ee8a2fde8299a2d6aa
Thriller,4.9,true,60,Security,2021,6165e0ee8a2fde8299a2d6ba
"Comedy,Drama",8,true,60,Cinema Bandi,2021,6165e0ee8a2fde8299a2d6bf
"Horror,Thriller",5.4,true,59,The 8th Night,2021,6165e0ee8a2fde8299a2d6e7
"Drama,Mystery,Sci-Fi,Thriller",6.6,true,59,The Soul,2021,6165e0ee8a2fde8299a2d6e9
"Comedy,Drama",6.3,true,59,The Guide to the Perfect Family,2021,6165e0ee8a2fde8299a2d725
Comedy,7.3,true,59,Nate Bargatze: The Greatest Average American,2021,6165e0ee8a2fde8299a2d727
"Comedy,Drama",6.9,true,59,Pagglait,2021,6165e0ee8a2fde8299a2d728
"Documentary,Crime,Drama",7,true,59,Operation Varsity Blues: The College Admissions Scandal,2021,6165e0ee8a2fde8299a2d72a
"Comedy,Drama",7.1,true,58,Ali & Ratu Ratu Queens,2021,6165e0ee8a2fde8299a2d744
"Drama,Mystery,Thriller",6.4,true,58,Last Summer,2021,6165e0ee8a2fde8299a2d74f
"Comedy,Drama",5.5,true,58,The House of Flowers: The Movie,2021,6165e0ee8a2fde8299a2d752
"Animation,Adventure,Comedy,Family,Fantasy",6.6,true,58,Red,2021,6165e0ee8a2fde8299a2d754
"Comedy,Romance",6.6,true,58,Crazy About Her,2021,6165e0ee8a2fde8299a2d75c
"Animation,Action,Fantasy",6.9,true,58,New Gods: Nezha Reborn,2021,6165e0ee8a2fde8299a2d768
"Documentary,Crime",5.6,true,58,Why Did You Kill Me?,2021,6165e0ee8a2fde8299a2d769
"Action,Drama,History,Horror,Thriller",8.2,true,58,Ashin of the North,2021,6165e0ee8a2fde8299a2d776
"Comedy,Romance",6.8,true,58,Sweet & Sour,2021,6165e0ee8a2fde8299a2d782
"Musical,Romance",7.2,true,58,99 Songs,2021,6165e0ee8a2fde8299a2d787
"Animation,Action,Drama,Romance,Sci-Fi",6.8,true,57,Mobile Suit Gundam: Hathaway,2021,6165e0ee8a2fde8299a2d795
"Action,Comedy,Crime",6.2,true,57,Get the Goat,2021,6165e0ee8a2fde8299a2d7a8
"Action,Crime,Drama,Thriller",4.7,true,57,Sentinelle,2021,6165e0ee8a2fde8299a2d7b5
"Drama,Horror,Mystery,Thriller",5.7,true,57,A Classic Horror Story,2021,6165e0ee8a2fde8299a2d7e4
"Drama,Romance",6.7,true,57,Ajeeb Daastaans,2021,6165e0ee8a2fde8299a2d7ec
"Horror,Thriller",4.2,true,57,The Devil Below,2021,6165e0ee8a2fde8299a2d7f2
"Drama,Family,Musical",5.8,true,56,A Week Away,2021,6165e0ee8a2fde8299a2d80e
"Crime,Drama",7,true,56,A Family,2021,6165e0ee8a2fde8299a2d81e
"Action,Adventure,Sci-Fi",2.5,true,56,Cosmic Sin,2021,6165e0ee8a2fde8299a2d820
,7.1,true,56,Pretty Guardians Sailor Moon Eternal The MOVIE - Part 1,2021,6165e0ee8a2fde8299a2d825
Drama,7,true,56,Cousins,2021,6165e0ee8a2fde8299a2d828
