Number of Netflix paid streaming subscribers in the U.S. and Canada Q1 2013- Q2 2021,
Number of Netflix paying streaming subscribers in the United States and Canada from 1st quarter 2013 to 2nd quarter 2021 (in millions),
,
Q1 2013,27.91
Q2 2013,28.62
Q3 2013,29.93
Q4 2013,31.71
Q1 2014,34.38
Q2 2014,35.09
Q3 2014,36.27
Q4 2014,37.7
Q1 2015,40.32
Q2 2015,41.06
Q3 2015,42.07
Q4 2015,43.4
Q1 2016,45.71
Q2 2016,46
Q3 2016,46.48
Q4 2016,47.91
Q1 2017,49.38
Q2 2017,50.32
Q3 2017,51.35
Q4 2017,52.81
Q1 2018,55.09
Q2 2018,55.96
Q3 2018,56.96
Q4 2018,58.49
Q1 2019,60.23
Q2 2019,60.1
Q3 2019,60.62
Q4 2019,61.04
Q1 2020,69.97
Q2 2020,72.9
Q3 2020,73.08
Q4 2020,73.94
Q1 2021,74.38
Q2 2021,73.95
