Genres,IMDb,Prime Video,Rotten Tomatoes,Title,Year,_id
"Mystery,Thriller",6.4,true,73,Fractured,2019,616528458a2fde8299a2ac21
"Comedy,Crime,Drama,Music",6.4,true,65,Beats,2019,616528458a2fde8299a2adad
"Comedy,Drama",6.2,true,50,Door Ke Darshan,2020,616528458a2fde8299a2b30d
"Comedy,Family",5.5,true,50,House Arrest,2019,616528458a2fde8299a2b34b
"Comedy,Family",5.2,true,50,Back of the Net,2019,616528458a2fde8299a2b354
"Action,Drama,Thriller",6.2,true,49,Redemption,2019,616528458a2fde8299a2b3bd
"Action,Comedy,Crime,Fantasy",5.8,true,49,Maska,2020,616528458a2fde8299a2b3cc
Drama,5.5,true,42,Albert Pinto Ko Gussa Kyun Aata Hai?,2019,616528458a2fde8299a2b64f
"Biography,Crime,Drama,Romance",7.1,true,40,Skin,2019,616528458a2fde8299a2b731
Family,4.4,true,39,Hope Ranch,2020,616528458a2fde8299a2b762
"Horror,Mystery,Thriller",5.7,true,67,"Child's Play",2019,616528458a2fde8299a2ba0b
Documentary,7,true,59,Stray,2020,616528458a2fde8299a2bb19
"Drama,Sci-Fi,Thriller",5.7,true,58,The Mandela Effect,2019,616528458a2fde8299a2bb2f
"Crime,Drama",6.2,true,51,Ms. Purple,2019,616528458a2fde8299a2bc1d
"Biography,Comedy,Drama,Family,Romance",6.6,true,51,Red Dog,2019,616528458a2fde8299a2bc1f
"Comedy,Drama,Romance",4.4,true,50,Good Kisser,2019,616528458a2fde8299a2bc35
"Action,Adventure,Drama,Fantasy,War",4.2,true,46,The Warrior Queen of Jhansi,2019,616528458a2fde8299a2bc87
"Animation,Drama,Family,Fantasy,Mystery,Romance",4.3,true,43,12 Pups of Christmas,2019,616528458a2fde8299a2bcb6
Family,5.9,true,43,Next Level,2019,616528458a2fde8299a2bcbf
"Comedy,Romance",4.6,true,42,Christmas Crush,2019,616528458a2fde8299a2bcc3
"Drama,Music,Romance",8,true,91,Gully Boy,2019,616528458a2fde8299a2bcf2
Drama,7.3,true,89,Honey Boy,2019,616528458a2fde8299a2bcf4
"Biography,Crime,Drama,History,Thriller",7.2,true,89,The Report,2019,616528458a2fde8299a2bcf5
Comedy,6.7,true,88,Borat Subsequent Moviefilm,2020,616528458a2fde8299a2bcf7
"Comedy,Crime,Drama,Mystery,Thriller",7.9,true,85,Knives Out,2019,616528458a2fde8299a2bcfd
"Comedy,Drama",6.8,true,85,Brittany Runs a Marathon,2019,616528458a2fde8299a2bcff
Drama,7.8,true,85,Invisible Life,2019,616528458a2fde8299a2bd00
"Documentary,History",7.5,true,84,One Child Nation,2019,616528458a2fde8299a2bd02
"Comedy,Drama",6.5,true,84,Late Night,2019,616528458a2fde8299a2bd04
"Comedy,Drama,Mystery",6.4,true,82,Blow the Man Down,2019,616528458a2fde8299a2bd0b
Drama,6.8,true,82,Thappad,2020,616528458a2fde8299a2bd0c
"Drama,Horror,Mystery,Thriller",7.1,true,80,Midsommar,2019,616528458a2fde8299a2bd19
"Drama,Music",7.8,true,80,Sound of Metal,2020,616528458a2fde8299a2bd1a
"Drama,Fantasy,Horror,Mystery",7.5,true,80,The Lighthouse,2019,616528458a2fde8299a2bd1b
"Drama,Music,Romance",6.8,true,78,"Sylvie's Love",2020,616528458a2fde8299a2bd2a
"Action,Comedy",6.4,true,76,My Spy,2020,616528458a2fde8299a2bd3b
"Comedy,Drama",7.6,true,76,The Farewell,2019,616528458a2fde8299a2bd45
"Action,Drama,Thriller",6.3,true,75,7500,2019,616528458a2fde8299a2bd49
Comedy,6.9,true,75,Good Newwz,2019,616528458a2fde8299a2bd53
"Documentary,Biography,Music",7.8,true,75,Chasing Happiness,2019,616528458a2fde8299a2bd55
"Drama,Romance",6.9,true,74,Photograph,2019,616528458a2fde8299a2bd64
Documentary,6.6,true,74,All In: The Fight for Democracy,2020,616528458a2fde8299a2bd65
"Action,Comedy,Thriller",6.3,true,74,Guns Akimbo,2020,616528458a2fde8299a2bd69
"Crime,Drama",6.8,true,73,Time,2020,616528458a2fde8299a2bd6f
"Action,Comedy,Horror,Music",6.2,true,73,Get Duked!,2019,616528458a2fde8299a2bd7a
