Genres,IMDb,Rotten Tomatoes,Title
"Mystery,Thriller",6.4,73,Fractured
"Comedy,Crime,Drama,Music",6.4,65,Beats
"Comedy,Family",5.5,50,House Arrest
"Comedy,Family",5.2,50,Back of the Net
"Action,Drama,Thriller",6.2,49,Redemption
Drama,5.5,42,Albert Pinto Ko Gussa Kyun Aata Hai?
"Biography,Crime,Drama,Romance",7.1,40,Skin
"Horror,Mystery,Thriller",5.7,67,"Child's Play"
"Drama,Sci-Fi,Thriller",5.7,58,The Mandela Effect
"Crime,Drama",6.2,51,Ms. Purple
"Biography,Comedy,Drama,Family,Romance",6.6,51,Red Dog
"Comedy,Drama,Romance",4.4,50,Good Kisser
"Action,Adventure,Drama,Fantasy,War",4.2,46,The Warrior Queen of Jhansi
"Animation,Drama,Family,Fantasy,Mystery,Romance",4.3,43,12 Pups of Christmas
Family,5.9,43,Next Level
"Comedy,Romance",4.6,42,Christmas Crush
"Drama,Music,Romance",8,91,Gully Boy
Drama,7.3,89,Honey Boy
"Biography,Crime,Drama,History,Thriller",7.2,89,The Report
"Comedy,Crime,Drama,Mystery,Thriller",7.9,85,Knives Out
"Comedy,Drama",6.8,85,Brittany Runs a Marathon
Drama,7.8,85,Invisible Life
"Documentary,History",7.5,84,One Child Nation
"Comedy,Drama",6.5,84,Late Night
"Comedy,Drama,Mystery",6.4,82,Blow the Man Down
"Drama,Horror,Mystery,Thriller",7.1,80,Midsommar
"Drama,Fantasy,Horror,Mystery",7.5,80,The Lighthouse
"Comedy,Drama",7.6,76,The Farewell
"Action,Drama,Thriller",6.3,75,7500
Comedy,6.9,75,Good Newwz
"Documentary,Biography,Music",7.8,75,Chasing Happiness
"Drama,Romance",6.9,74,Photograph
"Action,Comedy,Horror,Music",6.2,73,Get Duked!
"Mystery,Thriller",6.2,73,A Dark Place
"Action,Thriller",6.1,73,Rambo: Last Blood
"Animation,Drama,Family,Fantasy,Musical",6.2,72,Pinocchio
"Action,Adventure,Drama,Romance",6.6,71,The Aeronauts
"Comedy,Horror,Mystery,Sci-Fi",5.8,71,Vivarium
"Action,Crime,Drama,Thriller",6.6,70,The Informer
Drama,7.3,70,The Last Black Man in San Francisco
"Action,Drama,War",6.8,69,Danger Close: The Battle of Long Tan
"Horror,Mystery,Sci-Fi,Thriller",8,69,Rewind
"Comedy,Romance",6.5,68,A Rainy Day in New York
Drama,6.3,67,The Goldfinch
"Drama,Mystery,Romance",6.4,66,The Souvenir
"Action,Drama,Sci-Fi,Thriller",6.1,66,The Blackout
"Drama,Sci-Fi,Thriller",6.6,65,Light of My Life
"Biography,Drama,Thriller",5.8,65,Seberg
"Action,Crime,Thriller",5.9,65,Night Hunter
"Action,Adventure,Comedy",5.7,65,Jay and Silent Bob Reboot
"Action,Drama,Thriller",7.9,65,Virus
"Comedy,Crime,Mystery,Thriller",8.4,64,Agent Sai Srinivasa Athreya
"Comedy,Drama,Family",6.9,64,Troop Zero
"Comedy,Drama,Music,Musical,Thriller",6.7,64,Guava Island
"Action,Drama,History,Thriller,War",7.4,64,Kesari
"Adventure,Drama,Horror,Thriller",5,63,47 Meters Down: Uncaged
"Comedy,Drama,Music,Romance",6.3,63,Gloria Bell
"Crime,Drama,Mystery,Thriller",5.8,62,The Vanishing
"Crime,Drama,Fantasy,Horror,Mystery,Thriller",6.1,61,"Daniel Isn't Real"
"Action,Crime,Thriller",7.5,61,Jallikattu
"Action,Biography,Drama,Thriller,War",5.9,61,The Kill Team
Drama,6.6,61,Blackbird
Documentary,7.6,61,Never Surrender: A Galaxy Quest Documentary
Drama,7.4,60,House of Hummingbird
Documentary,7.1,60,Super Size Me 2: Holy Chicken!
"Crime,Drama,Mystery,Thriller",5.7,60,A Vigilante
"Mystery,Romance,Thriller",6.3,60,The Fare
"Action,Drama,Sport",7,60,Bigil
"Crime,Drama,Thriller",6.5,60,Back Roads
"Drama,Family",6.9,59,Storm Boy
"Action,Crime,Thriller",4.4,59,Escape Plan: The Extractors
"Action,Drama,Romance",7.4,58,Dear Comrade
"Documentary,Biography,Music",7.3,58,Mystify: Michael Hutchence
"Action,Drama",7.3,58,Maharshi
"Drama,Western",5.9,58,Never Grow Old
"Drama,Thriller",6.3,57,Low Tide
"Documentary,Biography,Music",7.6,57,Gordon Lightfoot: If You Could Read My Mind
"Comedy,Drama,Mystery",6.3,57,Sometimes Always Never
"Action,Adventure,Drama,History",7.4,57,Sye Raa Narasimha Reddy
Comedy,7.6,57,Jim Gaffigan: Quality Time
"Horror,Mystery,Thriller",5.7,57,The Dead Center
Documentary,7.1,57,Missing 411: The Hunted
Thriller,4.7,57,The Poison Rose
Drama,6.4,57,The Kindness of Strangers
"Comedy,Drama,Thriller",7.2,57,Driving Licence
"Adventure,Fantasy",4.9,56,Abigail
"Action,Drama,History,War",6.3,56,15 Minutes of War
"Action,Comedy,Drama",4.9,56,Bharat
"Comedy,Drama",5.7,55,Changeland
Documentary,7.9,55,Andy Murray: Resurfacing
"Action,Crime,Thriller",4.4,55,Domino
"Drama,Thriller",5.3,55,The Isle
"Action,Comedy,Drama,Musical,Romance",7.5,55,Ishq
"Crime,Thriller",4.1,54,The Fanatic
"Adventure,Family,Fantasy",6.4,54,The Ash Lad: In Search of the Golden Castle
Comedy,6.9,54,Ujda Chaman
Drama,7.4,54,Raatchasi
Drama,4.9,54,Selah and the Spades
Documentary,6.9,54,Citizen K
Documentary,6.9,53,Netflix vs. the World
"Comedy,Mystery,Thriller",6.2,53,Extracurricular Activities
"Crime,Drama,Thriller",5.6,53,The Corrupted
Comedy,7.4,53,Sushi by Biswa Kalyan Rath
