IMDb,Netflix,Prime Video,Rotten Tomatoes,Title
6.2,true,true,50,Door Ke Darshan
5.8,true,true,49,Maska
4.4,true,true,39,Hope Ranch
7,false,true,59,Stray
6.7,false,true,88,Borat Subsequent Moviefilm
6.8,false,true,82,Thappad
7.8,false,true,80,Sound of Metal
6.8,false,true,78,"Sylvie's Love"
6.4,false,true,76,My Spy
6.6,false,true,74,All In: The Fight for Democracy
6.3,false,true,74,Guns Akimbo
6.8,false,true,73,Time
6,false,true,72,Unhinged
6,false,true,72,Honest Thief
6.7,false,true,72,The Vast of Night
8.8,false,true,69,Uncle Tom
7.3,false,true,69,Uncle Frank
6.1,false,true,68,Life in a Year
6.4,false,true,68,Archive
6.1,false,true,67,Shakuntala Devi
6.2,false,true,66,The Silencing
7.2,false,true,66,Words on Bathroom Walls
4.8,false,true,65,Evil Eye
6.2,false,true,65,Radioactive
6.2,false,true,65,"I'm Your Woman"
6,false,true,65,Come to Daddy
6.5,false,true,64,The Secret: Dare to Dream
6.3,false,true,64,Chemical Hearts
5.9,false,true,64,Mortal
6,false,true,63,Arkansas
7,false,true,61,Herself
6.1,false,true,61,Target Number One
7.7,false,true,61,HIT: The First Case
8.3,false,true,61,Love Mocktail
6.2,false,true,61,Black Box
7,false,true,60,Jasper Mall
5.3,false,true,60,Monsters of Man
8,false,true,60,Sufna
7.2,false,true,60,Jimmy O. Yang: Good Deal
6.6,false,true,60,Jawaani Jaaneman
6.3,false,true,60,#UNFIT: The Psychology of Donald Trump
5,false,true,59,Kill Chain
4.9,false,true,59,Wander
5.7,false,true,59,Nocturne
6.6,false,true,58,Jiang Ziya: The Legend of Deification
6.8,false,true,58,Chhalaang
4.5,false,true,58,Force of Nature
7.9,false,true,58,The Grand Tour Presents: A Massive Hunt
6.2,false,true,57,Close Encounters of the Fifth Kind
6.3,false,true,57,Gulabo Sitabo
5.8,false,true,56,Shubh Mangal Zyada Saavdhan
6,false,true,56,Sarileru Neekevvaru
6.9,false,true,56,The Booksellers
4.7,false,true,56,Capone
5.2,false,true,55,Think Like a Dog
5.6,false,true,55,The Glorias
4.9,false,true,55,Pandemic
5.6,false,true,54,Blood on Her Name
5.9,false,true,54,Waiting for Anya
